"","condition_mir1827_vs_mirctrl","condition_mir323_vs_mirctrl","condition_mir449b_vs_mirctrl","condition_mir4774_vs_mirctrl","condition_mir491_vs_mirctrl","condition_mir5681b_vs_mirctrl","condition_mir892b_vs_mirctrl","Database"
"cenp-a containing nucleosome assembly (go:0034080)",-2.61161619256033,NA,NA,NA,-2.2936116769819,NA,-2.27014436689685,"Gene Ontology BP"
"centromere complex assembly (go:0034508)",-2.75198129283074,NA,-2.84308591740333,NA,-2.46815103702995,-2.22134278608945,-2.59602716680837,"Gene Ontology BP"
"chromatin remodeling at centromere (go:0031055)",-2.64527839614639,NA,NA,NA,-2.32529984484269,NA,-2.35804101920914,"Gene Ontology BP"
"chromosome maintenance r-hsa-73886",-2.64353742296431,-2.25885179430526,-2.62087860068938,-2.04310792994916,-2.43698023194327,-2.12191977501917,-2.4414798195852,"Reactome"
"copi-dependent golgi-to-er retrograde traffic r-hsa-6811434",-2.43611589071951,-2.28906687015064,-2.38017456590011,-2.22710504795925,-2.25495840587029,-2.34150969441908,-2.44821002790336,"Reactome"
"coronavirus disease",2.56070593820667,NA,NA,NA,NA,NA,NA,"KEGG"
"cytokine signaling in immune system r-hsa-1280215",2.17006783525798,NA,NA,NA,NA,NA,NA,"Reactome"
"cytokine-mediated signaling pathway (go:0019221)",2.51847169051895,NA,NA,NA,2.21718268748992,NA,NA,"Gene Ontology BP"
"cytoskeleton-dependent cytokinesis (go:0061640)",-2.63933219966023,-2.20667072510614,-2.60380983035741,-2.228470749003,-2.26478799701905,-2.29380251725652,-2.43962292992852,"Gene Ontology BP"
"defective homologous recombination repair (hrr) due to brca2 loss of function r-hsa-9701190",-2.14126260955848,NA,NA,NA,NA,NA,NA,"Reactome"
"defense response to symbiont (go:0140546)",2.99736706277275,NA,NA,NA,NA,3.22584793140069,NA,"Gene Ontology BP"
"defense response to virus (go:0051607)",2.96720751926118,NA,NA,NA,NA,3.06255147252918,NA,"Gene Ontology BP"
"deposition of new cenpa-containing nucleosomes at centromere r-hsa-606279",-2.60438447817415,NA,NA,NA,NA,NA,NA,"Reactome"
"dna double-strand break repair r-hsa-5693532",-2.35755876820476,-2.23704564786541,-2.21515285197274,NA,-2.25701586359258,-2.06851424073523,-2.09226053049191,"Reactome"
"dna metabolic process (go:0006259)",-2.2945571803926,-2.4263131933997,-2.51875703991529,-2.1039318411958,-2.46911895881585,-2.08932071900014,-2.26503297128607,"Gene Ontology BP"
"dna repair (go:0006281)",-2.2431906841323,-2.17261460664603,-2.27326308721627,-1.90708584544539,-2.21909518103924,-1.93555950498941,-2.22250314443111,"Gene Ontology BP"
"dna repair r-hsa-73894",-2.00903157688954,-2.164847885135,-2.08965649746794,-1.84609556666377,-2.17444105391205,NA,-2.0874965897908,"Reactome"
"dna replication (go:0006260)",-2.55168166237461,-2.67083440693788,-2.68836391221442,-2.17016858345166,-2.60735391129289,-2.29149391374877,-2.40592163597851,"Gene Ontology BP"
"dna replication initiation (go:0006270)",-2.18734788569012,-2.23208313330084,-2.38428891656185,NA,-2.346127514401,-2.18460087547721,-2.25257936641203,"Gene Ontology BP"
"dna replication r-hsa-69306",-2.07985591888271,-2.39266909146013,-2.50336702325686,-2.17419515824722,-2.46578255111145,-2.28915219838729,-2.2912902360178,"Reactome"
"dna replication-independent nucleosome assembly (go:0006336)",-2.57411459810106,NA,-2.6673384372589,NA,-2.35890494156271,NA,-2.35782694982273,"Gene Ontology BP"
"dna strand elongation r-hsa-69190",-2.24095361338838,NA,NA,NA,-2.26092854881817,NA,NA,"Reactome"
"double-strand break repair (go:0006302)",-2.09332401845067,-2.41503996884082,-2.0668965099436,-1.94703300676753,-2.24176204474601,NA,-2.22347085266002,"Gene Ontology BP"
"double-strand break repair via homologous recombination (go:0000724)",-2.25018176970452,-2.70819140633068,-2.42168049195684,-2.10242647082568,-2.47401795277268,-2.19782975471136,-2.39395274315737,"Gene Ontology BP"
"eml4 and nudc in mitotic spindle formation r-hsa-9648025",-3.31849313227254,-2.9787911528938,-3.21003258037273,-2.69803991835274,-2.87798899759307,-2.7987905770457,-2.90631463187235,"Reactome"
"factors involved in megakaryocyte development and platelet production r-hsa-983231",-2.43579117665984,NA,-2.20448383529463,-2.0727331693809,-2.11973695185847,NA,-2.44034928719857,"Reactome"
"g1/s transition r-hsa-69206",-2.11768446927564,-2.30636241487363,-2.6517476786261,-2.13479616337479,-2.56832430499037,-2.32772203267968,-2.52514706915852,"Reactome"
"g2/m checkpoints r-hsa-69481",-2.20340701915024,-2.48592924052216,-2.57510296787156,-2.06037567614573,-2.57699644991713,-2.11704305179887,-2.47095191037037,"Reactome"
"g2/m transition of mitotic cell cycle (go:0000086)",-2.19269469626423,NA,-2.42097249257538,-2.09482364116269,-2.13798421655329,-2.10094484270046,-2.17590115680689,"Gene Ontology BP"
"g2/m transition r-hsa-69275",-2.45791020397371,NA,-2.61495293515865,-2.24476122941536,-2.34572418718847,-2.10067732510065,-2.43686791956319,"Reactome"
"golgi-to-er retrograde transport r-hsa-8856688",-2.30028802824819,-2.25837782960756,-2.24949761760959,-2.15456638790511,-2.03677898961622,NA,-2.35294315423473,"Reactome"
"hdr thru homologous recombination (hrr) or single strand annealing (ssa) r-hsa-5693567",-2.38874098011334,-2.31054717273259,-2.34350590758793,NA,-2.27293238015564,-2.22223948275357,-2.17856546470721,"Reactome"
"hdr thru homologous recombination (hrr) r-hsa-5685942",-2.42352141868655,-2.12062986167125,-2.26969381076876,NA,-2.19108426023379,-2.1101372279549,-2.10521689808848,"Reactome"
"hemostasis r-hsa-109582",-1.91458399908256,NA,-1.9684453939757,NA,NA,NA,-1.90971584529244,"Reactome"
"histone exchange (go:0043486)",-2.52635964901308,NA,NA,NA,-2.30102054629601,NA,-2.29431134250668,"Gene Ontology BP"
"homologous dna pairing and strand exchange r-hsa-5693579",-2.24812790242265,NA,NA,NA,-2.21783755560097,NA,NA,"Reactome"
"homology directed repair r-hsa-5693538",-2.41844601663576,-2.32975027990773,-2.38657995539992,NA,-2.30053172566663,-2.24397431808647,-2.18461521007075,"Reactome"
"innate immune response (go:0045087)",2.65027735696661,NA,NA,NA,NA,NA,NA,"Gene Ontology BP"
"interferon alpha/beta signaling r-hsa-909733",3.47069341768047,NA,NA,NA,NA,3.34475324939197,NA,"Reactome"
"interferon signaling r-hsa-913531",2.90804984762286,NA,NA,NA,NA,2.69301436374822,NA,"Reactome"
"interstrand cross-link repair (go:0036297)",-2.12447343314175,NA,-2.21111635902644,NA,-2.08726519385834,NA,-2.10162077302715,"Gene Ontology BP"
"intra-golgi and retrograde golgi-to-er traffic r-hsa-6811442",-2.06332906432072,-2.11395811345118,NA,NA,NA,NA,-2.08738431031292,"Reactome"
"kinesins r-hsa-983189",-2.70193422270515,NA,-2.49101976753583,NA,NA,NA,-2.51416205648217,"Reactome"
"m phase r-hsa-68886",-3.09450218484817,-2.97458790229576,-3.13727460727722,-2.52699051048807,-2.6349726687426,-2.6852624805347,-2.85714453467988,"Reactome"
"mhc class ii antigen presentation r-hsa-2132295",-2.09780055067105,NA,NA,NA,NA,NA,-2.07942736896879,"Reactome"
"microtubule cytoskeleton organization involved in mitosis (go:1902850)",-3.56213422839516,-3.08098677852865,-3.36012213753322,-2.75386305075676,-2.97410599247111,-2.81347149721143,-3.10599982936267,"Gene Ontology BP"
"mitotic anaphase r-hsa-68882",-3.10958280925363,-3.02140810067726,-3.15004501292777,-2.60657242545232,-2.77383778406782,-2.7663871106049,-2.86722577427003,"Reactome"
"mitotic cell cycle phase transition (go:0044772)",-2.28635378964646,NA,-2.46152995596398,-1.99780122598501,-2.23599461355476,-2.11596785281291,-2.26916309296266,"Gene Ontology BP"
"mitotic cytokinesis (go:0000281)",-2.51387699078675,NA,-2.4822731515106,NA,-2.16720315276233,-2.22818075979245,-2.38330861608903,"Gene Ontology BP"
"mitotic dna damage checkpoint signaling (go:0044773)",-2.29903441124597,NA,-2.35720595794654,NA,-2.2374329407208,NA,-2.37855597232979,"Gene Ontology BP"
"mitotic g1 phase and g1/s transition r-hsa-453279",-2.31311539207247,-2.35383351299483,-2.68866094490074,-2.20197825676729,-2.62561048322677,-2.38342968292401,-2.51468701395469,"Reactome"
"mitotic g2-g2/m phases r-hsa-453274",-2.48277385690097,-2.10548754819936,-2.64759639391124,-2.17043155559514,-2.36607909022155,-2.14747094939354,-2.49110506937826,"Reactome"
"mitotic metaphase and anaphase r-hsa-2555396",-3.12711342253889,-3.0388697269297,-3.16663474021361,-2.62730159999417,-2.78687654188978,-2.78556524535576,-2.88563728620711,"Reactome"
"mitotic metaphase plate congression (go:0007080)",-2.83673751088504,-2.45269500283638,-2.66156626615463,-2.45474739404414,-2.49947240769031,-2.4109346703522,-2.64939076135781,"Gene Ontology BP"
"mitotic nuclear division (go:0140014)",-2.98152363555464,-2.6656531837488,-2.8160589815293,-2.51569846388105,-2.59688195240163,-2.49945938060375,-2.68305960175888,"Gene Ontology BP"
"mitotic prometaphase r-hsa-68877",-3.36795564264253,-2.94254583953839,-3.27765290208812,-2.66210216893808,-2.78073550191047,-2.79772638033117,-2.93654884665539,"Reactome"
"mitotic sister chromatid segregation (go:0000070)",-3.29622261787506,-2.85236259811214,-3.16958415403359,-2.70560507631115,-2.81877997142138,-2.70170339502156,-3.0157145163008,"Gene Ontology BP"
"mitotic spindle checkpoint r-hsa-69618",-3.36014559381454,-3.01153377075676,-3.16889455454374,-2.66988301930276,-2.86703975022222,-2.76734554815676,-2.91796998119046,"Reactome"
"mitotic spindle organization (go:0007052)",-3.54015127042157,-3.14312123674663,-3.3202411910972,-2.72825729576028,-2.99045349940775,-2.73783654167599,-3.10179959493646,"Gene Ontology BP"
"negative regulation of cell cycle process (go:0010948)",-2.29526926513743,NA,NA,NA,NA,NA,-2.28330922698539,"Gene Ontology BP"
"negative regulation of viral process (go:0048525)",2.90851243154997,NA,NA,NA,NA,3.14201477110761,NA,"Gene Ontology BP"
"nod-like receptor signaling pathway",2.44048836997327,NA,NA,NA,NA,NA,NA,"KEGG"
"oocyte meiosis",-2.52864656810836,-2.23170922464862,-2.40627444137668,-2.44717997934556,-2.50030178353784,-2.33626796833769,-2.57276647743396,"KEGG"
"positive regulation of cell cycle process (go:0090068)",-2.78577603862941,-2.36484241958809,-2.66296742240783,-2.18549631929637,-2.41168103079098,-2.20499608486167,-2.5633019645448,"Gene Ontology BP"
"progesterone-mediated oocyte maturation",-2.37858862650833,NA,-2.45571787604306,-2.20700725805254,-2.37157983371106,-2.26653555195342,-2.47513463684813,"KEGG"
"regulation of apc/c activators between g1/s and early anaphase r-hsa-176408",-2.20705868791217,NA,-2.22355018904918,NA,-2.34134617910054,NA,-2.41677996632839,"Reactome"
"regulation of cell cycle (go:0051726)",-1.99538759053813,-2.13699015564872,-2.31698857546732,-2.09469828870311,-2.2437467992426,-2.01427731504505,-2.33118851466022,"Gene Ontology BP"
"regulation of cell cycle g2/m phase transition (go:1902749)",-2.49331434638003,NA,-2.51631969604105,-2.23886827928365,-2.12774892564044,-2.13685104848002,-2.32195525655291,"Gene Ontology BP"
"regulation of cell cycle phase transition (go:1901987)",-2.26508512817129,NA,NA,-2.06933240768396,-2.20477690859958,NA,-2.36943589892671,"Gene Ontology BP"
"regulation of cell cycle process (go:0010564)",-2.65283515888265,-2.23697862412097,-2.56613869942567,-2.205497344121,-2.54993312293522,-2.19361381418619,-2.61953316752856,"Gene Ontology BP"
"regulation of cell division (go:0051302)",-2.53985163505776,NA,-2.39641233297668,NA,-2.26086429793025,NA,-2.43445833864523,"Gene Ontology BP"
"regulation of cyclin-dependent protein kinase activity (go:1904029)",-2.42677499528521,NA,-2.51007477565562,-2.12639895493627,-2.51762830687749,-2.14198951973918,-2.24893394783744,"Gene Ontology BP"
"regulation of cyclin-dependent protein serine/threonine kinase activity (go:0000079)",-2.31773808554553,-2.25607144919534,-2.49328005442975,-2.19997940334311,-2.52495309437245,-2.19593764448801,-2.21549658105382,"Gene Ontology BP"
"regulation of cytokinesis (go:0032465)",-2.58851865374826,NA,-2.4003133153209,-2.16262318622884,-2.35099894267812,-2.31065064537065,-2.46181533783443,"Gene Ontology BP"
"regulation of g2/m transition of mitotic cell cycle (go:0010389)",-2.30032862873828,NA,-2.44409933881708,-2.18295224054647,-2.1817165451593,-2.02444188187572,-2.43942074635825,"Gene Ontology BP"
"regulation of intracellular signal transduction (go:1902531)",-1.88997416850849,NA,NA,NA,NA,NA,-2.02556856406776,"Gene Ontology BP"
"regulation of mitotic cell cycle (go:0007346)",-2.20266206356935,NA,-2.260209114427,-2.29846127041972,-2.24425343592462,-2.02268233855406,-2.48978202107868,"Gene Ontology BP"
"regulation of mitotic cell cycle phase transition (go:1901990)",-2.56381665877233,-2.16146843451468,-2.40166667459979,-2.37048384555232,-2.33430395855615,-2.2811187762107,-2.49694524610389,"Gene Ontology BP"
"regulation of protein serine/threonine kinase activity (go:0071900)",-2.06557352296008,NA,-2.37622705095834,-2.05492211186399,-2.35990825689591,-2.27357764137376,-2.0340933407541,"Gene Ontology BP"
"resolution of sister chromatid cohesion r-hsa-2500257",-3.47350956333941,-3.07409460513713,-3.31092066176511,-2.75730255157465,-2.94744422275225,-2.93213416644449,-3.05432975248913,"Reactome"
"rho gtpase effectors r-hsa-195258",-3.0582393200273,-2.80399969037966,-2.92236456531649,-2.47007035950228,-2.82259009396723,-2.59793751029424,-2.7774971912024,"Reactome"
"rho gtpases activate formins r-hsa-5663220",-3.33736536632491,-2.97486754534909,-3.12666073481053,-2.66247274232117,-2.89055507543273,-2.77597734307832,-2.91157409965022,"Reactome"
"s phase r-hsa-69242",-2.22822280403821,-2.25110262979005,-2.61178513520424,-1.99825642486152,-2.47916032480233,-2.25760254203877,-2.36774121274081,"Reactome"
"separation of sister chromatids r-hsa-2467813",-3.24728749351226,-3.03132473750473,-3.14002671460807,-2.66873235313885,-2.81686889301549,-2.74378814981805,-2.96888012391356,"Reactome"
"signal transduction r-hsa-162582",-1.67327272863404,NA,-1.96394035165972,NA,NA,-1.60946584389338,-1.90922076679126,"Reactome"
"signaling by rho gtpases r-hsa-194315",-2.54541528508448,-2.41042427852326,-2.49629451796141,-2.10738618976977,-2.26152340144241,-1.92294183443759,-2.47803724950733,"Reactome"
"signaling by rho gtpases, miro gtpases and rhobtb3 r-hsa-9716542",-2.52052859241009,-2.36997371626136,-2.4682965284782,-2.09084519268284,-2.25027475006582,-1.90811920861658,-2.44768841450561,"Reactome"
"sister chromatid segregation (go:0000819)",-2.9362126105344,-2.67270640235815,-2.91371475411875,NA,-2.58637931565026,-2.64255810024165,-2.75544823358419,"Gene Ontology BP"
"synthesis of dna r-hsa-69239",-2.06683458819176,-2.3705835193944,-2.5111935526035,-2.13820567410425,-2.45596239334353,-2.23980790276878,-2.25754768756736,"Reactome"
"tp53 regulates transcription of cell cycle genes r-hsa-6791312",-2.09287941541848,NA,-2.25410489337824,NA,-2.24116154078514,NA,-2.31757490250893,"Reactome"
"type i interferon signaling pathway (go:0060337)",3.44148820001123,NA,NA,NA,NA,3.30514135718795,NA,"Gene Ontology BP"
"unattached kinetochores signal amplification via a mad2 inhibitory signal r-hsa-141444",-3.31544528344912,-2.99979468711488,-3.2060526425182,-2.69803991835274,-2.86866992148379,-2.81962449299288,-2.92364036556916,"Reactome"
