Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0006513	GO:0006513	protein monoubiquitination	2.790e-03	0.000e+00	3.686e+00	2.060e-04
GO:0032968	GO:0032968	positive regulation of transcription elongation by RNA polymerase II	2.831e-03	0.000e+00	4.101e+00	7.918e-05
GO:0032968	GO:0034243	regulation of transcription elongation by RNA polymerase II	3.815e-03	0.000e+00	4.028e+00	9.378e-05
GO:0032968	GO:0032786	positive regulation of DNA-templated transcription, elongation	5.881e-03	0.000e+00	4.009e+00	9.798e-05
GO:0097193	GO:0097193	intrinsic apoptotic signaling pathway	2.916e-03	0.000e+00	4.385e+00	4.123e-05
GO:0140053	GO:0140053	mitochondrial gene expression	3.169e-03	0.000e+00	4.758e+00	1.747e-05
GO:0031929	GO:0031929	TOR signaling	3.187e-03	0.000e+00	4.196e+00	6.362e-05
GO:0035336	GO:0035336	long-chain fatty-acyl-CoA metabolic process	3.253e-03	0.000e+00	4.911e+00	1.228e-05
GO:1901879	GO:0043244	regulation of protein-containing complex disassembly	3.322e-03	0.000e+00	2.855e+00	1.397e-03
GO:1901879	GO:1901879	regulation of protein depolymerization	3.447e-03	0.000e+00	3.673e+00	2.123e-04
GO:0043094	GO:0043094	cellular metabolic compound salvage	4.989e-03	0.000e+00	2.502e+00	3.150e-03
GO:0008156	GO:0008156	negative regulation of DNA replication	6.030e-03	0.000e+00	4.202e+00	6.273e-05
GO:0033522	GO:0033522	histone H2A ubiquitination	6.030e-03	0.000e+00	4.879e+00	1.323e-05
GO:0042118	GO:0042118	endothelial cell activation	6.089e-03	0.000e+00	5.740e+00	1.821e-06
GO:0046129	GO:0042451	purine nucleoside biosynthetic process	6.089e-03	0.000e+00	3.232e+00	5.867e-04
GO:0046129	GO:0046129	purine ribonucleoside biosynthetic process	6.089e-03	0.000e+00	3.232e+00	5.867e-04
GO:0046129	GO:0042455	ribonucleoside biosynthetic process	6.089e-03	0.000e+00	2.603e+00	2.495e-03
GO:1904019	GO:1904019	epithelial cell apoptotic process	6.322e-03	0.000e+00	5.071e+00	8.498e-06
GO:1903955	GO:1903955	positive regulation of protein targeting to mitochondrion	6.595e-03	0.000e+00	5.944e+00	1.139e-06
GO:0016042	GO:0016042	lipid catabolic process	6.826e-03	0.000e+00	2.597e+00	2.528e-03
GO:1901796	GO:1901796	regulation of signal transduction by p53 class mediator	6.913e-03	0.000e+00	4.702e+00	1.987e-05
GO:0032984	GO:0032984	protein-containing complex disassembly	7.368e-03	0.000e+00	2.982e+00	1.042e-03
