"","condition_mir1827_vs_mirctrl","condition_mir323_vs_mirctrl","condition_mir449b_vs_mirctrl","condition_mir4774_vs_mirctrl","condition_mir491_vs_mirctrl","condition_mir5681b_vs_mirctrl","condition_mir892b_vs_mirctrl","Database"
"deposition of new cenpa-containing nucleosomes at centromere r-hsa-606279",-2.62872353461082,NA,NA,NA,NA,NA,NA,"Reactome"
"diseases of dna repair r-hsa-9675135",-2.0734496551036,-2.09114635189215,NA,NA,-2.15381099900232,NA,NA,"Reactome"
"dna damage response, signal transduction by p53 class mediator (go:0030330)",-1.98747816175603,NA,-2.10978387062621,NA,-2.35079926110844,NA,-2.20955706559302,"Gene Ontology BP"
"dna damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (go:0006977)",-2.0124971965405,NA,-2.11769812883497,NA,NA,NA,-2.15063402624944,"Gene Ontology BP"
"dna double-strand break repair r-hsa-5693532",-2.34299645743806,-2.23343978571488,-2.17547547491422,-1.8081872332152,-2.23097307336518,-2.05844226239682,-2.09405300857401,"Reactome"
"dna metabolic process (go:0006259)",-2.30493714685646,-2.42856122820534,-2.5033432886883,-2.13618665250052,-2.42001900309568,-2.0765076570463,-2.32355386361466,"Gene Ontology BP"
"dna repair (go:0006281)",-2.25283506345044,-2.18615967518585,-2.2398655790929,-1.93773797768933,-2.17595761946545,-1.91937256202003,-2.2558861557308,"Gene Ontology BP"
"dna repair r-hsa-73894",-2.0232483720364,-2.18121093524398,-2.07001838779504,-1.87576741682168,-2.12211734152331,-1.75429442712997,-2.12707731481522,"Reactome"
"dna replication (go:0006260)",-2.52008396690953,-2.67250745669034,-2.63731476500666,-2.16656287490696,-2.56558942370043,-2.25223126634585,-2.40935207734825,"Gene Ontology BP"
"dna replication initiation (go:0006270)",-2.20704832163169,-2.26292565537934,-2.29923983464081,NA,-2.30959904540811,-2.13691820290815,-2.19377672095175,"Gene Ontology BP"
"dna replication r-hsa-69306",-2.05261814453844,-2.38668551302065,-2.46857870855838,-2.15212589019844,-2.42552819930614,-2.2584753589654,-2.26990154360095,"Reactome"
"dna replication-independent nucleosome assembly (go:0006336)",-2.58925235341073,NA,-2.52380817870323,NA,-2.32217753203951,NA,-2.31360723520877,"Gene Ontology BP"
"dna strand elongation r-hsa-69190",-2.24270045977828,-2.037311514458,NA,NA,-2.28369479164962,NA,-2.05240616163387,"Reactome"
"dna-dependent dna replication (go:0006261)",-1.92279011582476,-2.4198329930402,-2.32897405773704,-1.98804767129608,-2.45207337888953,-2.09709178280249,-2.16803744433809,"Gene Ontology BP"
"double-strand break repair (go:0006302)",-2.0872390704997,-2.41506542572187,-2.03544391018524,-1.9572469328802,-2.20516486874105,-1.80486557381255,-2.20973658755826,"Gene Ontology BP"
"double-strand break repair via homologous recombination (go:0000724)",-2.22177469836928,-2.69950322697135,-2.36981630667112,-2.08595584858517,-2.43919325372134,-2.17739179247312,-2.39523922189489,"Gene Ontology BP"
"eml4 and nudc in mitotic spindle formation r-hsa-9648025",-3.29926042040827,-2.94313401324494,-3.14471252940046,-2.69490522483343,-2.8423299307998,-2.76857571055449,-2.91045854986101,"Reactome"
"extension of telomeres r-hsa-180786",-2.07960649974724,NA,NA,NA,NA,NA,NA,"Reactome"
"factors involved in megakaryocyte development and platelet production r-hsa-983231",-2.40504090810611,-1.9722938364782,-2.15623630593794,-2.04124695708588,-2.09549889448115,-1.98167134664921,-2.43822765828037,"Reactome"
"fanconi anemia pathway",-2.11394670424511,NA,-1.92760313612974,NA,-2.03732922252356,NA,-2.01501364261896,"KEGG"
"g1/s transition r-hsa-69206",-2.09146099871582,-2.30264482200951,-2.61017319385996,-2.120578233234,-2.54799945391315,-2.30613421758217,-2.52606455862792,"Reactome"
"g2/m checkpoints r-hsa-69481",-2.17478221417558,-2.48748646297282,-2.53931776674242,-2.0486747272214,-2.55516961149011,-2.09740912072202,-2.4718497085164,"Reactome"
"g2/m dna damage checkpoint r-hsa-69473",-2.03371114136999,NA,-1.9927633438373,NA,-2.16837986200796,NA,-2.13791795151147,"Reactome"
"g2/m transition of mitotic cell cycle (go:0000086)",-2.17915072781087,NA,-2.38861039405388,-2.0767461685173,-2.11149401035556,-2.09245108940121,-2.17900362749136,"Gene Ontology BP"
"g2/m transition r-hsa-69275",-2.43470946200425,-2.02122647976204,-2.58845506436244,-2.24103158610219,-2.30363673653395,-2.05878245752394,-2.44752533981764,"Reactome"
"golgi-to-er retrograde transport r-hsa-8856688",-2.28607947083191,-2.27227776373103,-2.19165780455027,-2.12183707392711,-2.01327742331277,-2.02576350641218,-2.34039611696327,"Reactome"
"hdr thru homologous recombination (hrr) or single strand annealing (ssa) r-hsa-5693567",-2.35641082314729,-2.30313468031866,-2.29845400282194,-1.88291498251246,-2.2319847264388,-2.20594431436719,-2.18341920129458,"Reactome"
"hdr thru homologous recombination (hrr) r-hsa-5685942",-2.39083478720818,-2.1385776948098,-2.21382335376905,-1.79512391935396,-2.17647916767976,-2.04632662801271,-2.06319115162087,"Reactome"
"hemostasis r-hsa-109582",-1.90983308753936,NA,-1.94915464806823,NA,NA,-1.7590700950261,-1.95032752756431,"Reactome"
"histone exchange (go:0043486)",-2.55739080322223,NA,NA,NA,-2.26535146171203,NA,-2.24628345102188,"Gene Ontology BP"
"homologous dna pairing and strand exchange r-hsa-5693579",-2.26631083100203,NA,NA,NA,-2.24016989705329,NA,NA,"Reactome"
"homology directed repair r-hsa-5693538",-2.40427919562321,-2.31510558601881,-2.33734373660194,-1.92381961448952,-2.25596298509777,-2.22918358529963,-2.18271591523245,"Reactome"
"inflammatory response (go:0006954)",2.42454727931557,NA,NA,NA,2.97538356268786,NA,NA,"Gene Ontology BP"
"innate immune response (go:0045087)",2.6882858097929,NA,NA,NA,NA,NA,NA,"Gene Ontology BP"
"interferon alpha/beta signaling r-hsa-909733",3.42232058214468,NA,NA,NA,NA,3.29531201004258,NA,"Reactome"
"interferon signaling r-hsa-913531",2.96832476442218,NA,NA,NA,NA,2.54989739265464,NA,"Reactome"
"interstrand cross-link repair (go:0036297)",-2.14360758781966,NA,-2.13224445090762,NA,-2.10059924015494,NA,-2.05762656327927,"Gene Ontology BP"
"intra-golgi and retrograde golgi-to-er traffic r-hsa-6811442",-2.04073856290173,-2.1020150559536,-1.94674766063988,-1.84946505494966,NA,-1.91043403161315,-2.07449064478418,"Reactome"
"kinesins r-hsa-983189",-2.72378755095427,NA,-2.36580809418102,NA,NA,NA,-2.46153192726352,"Reactome"
"m phase r-hsa-68886",-3.11212446134264,-2.96163959795607,-3.09887736723746,-2.5495069438614,-2.58678761170698,-2.68441827998434,-2.91412346554065,"Reactome"
"mhc class ii antigen presentation r-hsa-2132295",-2.06039955843972,-2.11931783142077,-1.95088665585714,-1.85338356645799,NA,NA,-2.05087942388372,"Reactome"
"microtubule cytoskeleton organization involved in mitosis (go:1902850)",-3.53651245063006,-3.10069217331409,-3.33623636010587,-2.79048581688024,-2.92921091973069,-2.78033000466899,-3.14558672370745,"Gene Ontology BP"
"mitotic anaphase r-hsa-68882",-3.13869474856007,-3.04024493427179,-3.11909625952006,-2.65142187476194,-2.70649423666292,-2.73176203967515,-2.92015396805039,"Reactome"
"mitotic cell cycle phase transition (go:0044772)",-2.29886440291017,-1.85955988167978,-2.43806657252565,-2.02980080699476,-2.18321583860862,-2.09090293025795,-2.29337289360849,"Gene Ontology BP"
"mitotic cytokinesis (go:0000281)",-2.53737021710044,-2.14297384039902,-2.43415913622152,NA,-2.18104786557511,-2.16685576060678,-2.33573141692025,"Gene Ontology BP"
"mitotic dna damage checkpoint signaling (go:0044773)",-2.31762907325616,NA,-2.2387204660677,NA,-2.22972681467187,NA,-2.32318532538653,"Gene Ontology BP"
"mitotic g1 phase and g1/s transition r-hsa-453279",-2.28779008771338,-2.33748266334838,-2.66141617526267,-2.20793783946553,-2.59941411012337,-2.35815107911309,-2.50608037564189,"Reactome"
"mitotic g2-g2/m phases r-hsa-453274",-2.45457434864931,-2.08465581424678,-2.6188120848609,-2.16790985912759,-2.31974465871413,-2.11635782872813,-2.4757176414845,"Reactome"
"mitotic metaphase and anaphase r-hsa-2555396",-3.1468997512364,-3.06205133806769,-3.12671351253875,-2.67023957081746,-2.72670380076345,-2.75505707962755,-2.9340165112623,"Reactome"
"mitotic metaphase plate congression (go:0007080)",-2.80078800869791,-2.50628177528406,-2.60997700413295,-2.43756824489112,-2.46055640684105,-2.32459825533418,-2.59392982646642,"Gene Ontology BP"
"mitotic nuclear division (go:0140014)",-2.92836703670866,-2.68389659648698,-2.74037570245293,-2.47897881069319,-2.56194385564869,-2.48113142279455,-2.66875222303439,"Gene Ontology BP"
"mitotic prometaphase r-hsa-68877",-3.39345041038799,-2.94280012793378,-3.26096460165043,-2.70092797357802,-2.71166500819096,-2.76098637491321,-2.96787901520288,"Reactome"
"mitotic sister chromatid segregation (go:0000070)",-3.27708793036557,-2.86841142723928,-3.12121434763775,-2.73231712783644,-2.79056243254956,-2.65541218423127,-3.01829813439881,"Gene Ontology BP"
"mitotic spindle checkpoint r-hsa-69618",-3.29534731469353,-2.96315687329233,-3.11425631555357,-2.67710897105739,-2.81020868008964,-2.7199296192523,-2.93073145756337,"Reactome"
"mitotic spindle organization (go:0007052)",-3.5534512782458,-3.16709811657933,-3.28576894005809,-2.77237600920275,-2.91849402801467,-2.7099629258252,-3.11928964988569,"Gene Ontology BP"
"modification-dependent protein catabolic process (go:0019941)",-1.99895235997904,NA,NA,NA,-1.79210190885103,NA,-1.87759837676382,"Gene Ontology BP"
"negative regulation of cell cycle process (go:0010948)",-2.27658425711883,NA,NA,NA,NA,NA,-2.229912002295,"Gene Ontology BP"
"negative regulation of viral genome replication (go:0045071)",2.61772232497956,NA,NA,NA,NA,NA,NA,"Gene Ontology BP"
"negative regulation of viral process (go:0048525)",2.88546498810903,NA,NA,NA,NA,3.28838408316608,NA,"Gene Ontology BP"
"nod-like receptor signaling pathway",2.45342715902367,NA,NA,NA,NA,NA,NA,"KEGG"
"oocyte meiosis",-2.49409089561917,-2.281208722713,-2.38803621747569,-2.41377150681531,-2.45425387640582,-2.31454264752387,-2.57406870308192,"KEGG"
"pertussis",2.41006998024431,NA,NA,NA,NA,NA,NA,"KEGG"
"phosphorylation (go:0016310)",-1.82513603560604,NA,NA,NA,NA,NA,-1.73172346350358,"Gene Ontology BP"
"positive regulation of cell cycle process (go:0090068)",-2.74903650516062,-2.37797906420084,-2.59139857107222,-2.15566030626733,-2.37923460206014,-2.19167471675514,-2.54275300953472,"Gene Ontology BP"
"positive regulation of type i interferon production (go:0032481)",2.51631691580921,NA,NA,NA,NA,NA,NA,"Gene Ontology BP"
"presynaptic phase of homologous dna pairing and strand exchange r-hsa-5693616",-2.12597736053688,NA,NA,NA,NA,NA,NA,"Reactome"
"processing of dna double-strand break ends r-hsa-5693607",-2.08419365467329,-2.15590588523062,-2.06106046538953,NA,-2.0888182792409,NA,-2.00245573278442,"Reactome"
"progesterone-mediated oocyte maturation",-2.40001147980682,NA,-2.4085087917709,-2.17348133195157,-2.35577161327916,-2.19799546297511,-2.45137157162331,"KEGG"
"protein phosphorylation (go:0006468)",-1.81738546469002,NA,-1.65872766247809,NA,NA,NA,-2.21861507596015,"Gene Ontology BP"
"recombinational repair (go:0000725)",-2.10077531699029,-2.27453520200523,-1.92975098064897,-1.95833128243733,-2.10693236701925,NA,-2.08847116667868,"Gene Ontology BP"
"regulation of apc/c activators between g1/s and early anaphase r-hsa-176408",-2.18909177226199,NA,-2.18502170709068,NA,-2.3048921539975,-1.99469456362303,-2.37145462113977,"Reactome"
"regulation of cell cycle (go:0051726)",-2.010492285665,-2.15065793084436,-2.28799155248001,-2.12238328076057,-2.18975537832755,-1.99222613780682,-2.34424883662328,"Gene Ontology BP"
"regulation of cell cycle g2/m phase transition (go:1902749)",-2.45968640046154,NA,-2.48002732888267,-2.2310961975396,-2.0859215595276,-2.07223262197002,-2.29007770596217,"Gene Ontology BP"
"regulation of cell cycle phase transition (go:1901987)",-2.24926401322328,NA,-2.02211736736249,-2.07537918131081,-2.16437789854081,-2.03240241989835,-2.34063601613039,"Gene Ontology BP"
"regulation of cell cycle process (go:0010564)",-2.63729532850678,-2.22434054763368,-2.51187643964712,-2.19297224392929,-2.51678815927625,-2.18036121147049,-2.62085906449836,"Gene Ontology BP"
"regulation of cell division (go:0051302)",-2.54183147552972,-2.09665068986784,-2.31093080118404,NA,-2.2756760404389,NA,-2.37778633481799,"Gene Ontology BP"
"regulation of cyclin-dependent protein kinase activity (go:1904029)",-2.44863184103526,NA,-2.46142188020004,-2.11476425290687,-2.49144843831513,-2.08303671486623,-2.20999039235446,"Gene Ontology BP"
"regulation of cyclin-dependent protein serine/threonine kinase activity (go:0000079)",-2.26566354514733,-2.29131179998503,-2.43871190532629,-2.17581450503145,-2.47211421563634,-2.12953243790993,-2.22043259835,"Gene Ontology BP"
"regulation of cytokinesis (go:0032465)",-2.55360666384069,-2.10284317199346,-2.36032522390935,-2.1546480309468,-2.33905164875166,-2.26366821591058,-2.43189260676248,"Gene Ontology BP"
"regulation of g2/m transition of mitotic cell cycle (go:0010389)",-2.29064178234091,-1.99757935601081,-2.40195805532169,-2.17502914082867,-2.15468448351039,-2.01625741669423,-2.4347001652977,"Gene Ontology BP"
"regulation of intracellular signal transduction (go:1902531)",-1.89101203406565,-1.8520334446854,-1.84313580948438,NA,-1.65231186631378,NA,-2.06917170753531,"Gene Ontology BP"
"regulation of mitotic cell cycle (go:0007346)",-2.18516258729073,NA,-2.23730593774598,-2.27862648818505,-2.21644652518257,-2.0128335242224,-2.49068666097602,"Gene Ontology BP"
"regulation of mitotic cell cycle phase transition (go:1901990)",-2.53344764673988,-2.16282240996892,-2.37595801979688,-2.36654531565093,-2.28229404227926,-2.25443997840099,-2.48839932985235,"Gene Ontology BP"
"regulation of plk1 activity at g2/m transition r-hsa-2565942",-2.02230625094123,NA,-2.08629933119025,-2.04021813595782,NA,-1.90936578275851,-1.90868711513628,"Reactome"
"regulation of protein serine/threonine kinase activity (go:0071900)",-2.07302318244893,-1.95326985623421,-2.33891903598488,-2.03235054424108,-2.31739370303124,-2.21390892387561,-2.03015711838897,"Gene Ontology BP"
"regulation of tp53 activity r-hsa-5633007",-1.96561683146147,-1.9211686675675,-1.97252537008335,NA,-2.06381335771364,NA,-2.0743579691464,"Reactome"
"regulation of tp53 activity thru phosphorylation r-hsa-6804756",-2.02256570401191,-2.08076480022165,-2.01480094812781,NA,-2.10912352809912,NA,-2.07295500041765,"Reactome"
"regulation of viral genome replication (go:0045069)",2.66869685940485,NA,NA,NA,NA,NA,NA,"Gene Ontology BP"
"resolution of sister chromatid cohesion r-hsa-2500257",-3.4065251318823,-3.05942932970444,-3.25901156735015,-2.75779694047102,-2.88901935810845,-2.8736571356542,-3.0518721234004,"Reactome"
"rho gtpase effectors r-hsa-195258",-3.08280851667445,-2.82538962686736,-2.89216434661118,-2.50183807080657,-2.75596522535994,-2.56382115106956,-2.82718124052002,"Reactome"
"rho gtpases activate formins r-hsa-5663220",-3.29400913122629,-2.96067564251844,-3.10023686829186,-2.66967863840161,-2.83264558453512,-2.72603209818488,-2.90160909603047,"Reactome"
"rhoa gtpase cycle r-hsa-8980692",-1.98336878533616,NA,-1.91626177712949,NA,NA,NA,-2.1184244643787,"Reactome"
"rhob gtpase cycle r-hsa-9013026",-2.08172675523362,NA,-2.06685969514273,NA,NA,NA,-1.89528270275178,"Reactome"
"rhoc gtpase cycle r-hsa-9013106",-2.06027408820655,NA,-1.911314997664,NA,NA,NA,-1.81515710295455,"Reactome"
"s phase r-hsa-69242",-2.20599220543205,-2.2149412019619,-2.57943872928125,-2.01146478415679,-2.45117655650781,-2.22808278682583,-2.35963750356218,"Reactome"
"separation of sister chromatids r-hsa-2467813",-3.25563862801021,-3.03550904120011,-3.12945582280735,-2.68695009151241,-2.76185351014719,-2.70820493158292,-2.99669117680468,"Reactome"
"signal transduction r-hsa-162582",-1.69349178909164,NA,-1.98294794897939,NA,-1.42260764904048,-1.61655045242444,-1.92259441970187,"Reactome"
"signaling by rho gtpases r-hsa-194315",-2.53995069446484,-2.39871538638134,-2.4624096194009,-2.10412216867358,-2.23385361724226,-1.92958688607567,-2.47797668603275,"Reactome"
"signaling by rho gtpases, miro gtpases and rhobtb3 r-hsa-9716542",-2.52342414520016,-2.35764635780122,-2.42990146290015,-2.0906096641657,-2.21979463687806,-1.91467694174026,-2.44764576573759,"Reactome"
"sister chromatid segregation (go:0000819)",-2.9763614604405,-2.73110001005785,-2.76547094643142,NA,-2.61242265947247,-2.58241553549239,-2.68351840594767,"Gene Ontology BP"
"synthesis of dna r-hsa-69239",-2.05483654116533,-2.36297842370041,-2.47287119230039,-2.12145475395585,-2.42403889560823,-2.23136888117201,-2.25329834940116,"Reactome"
"tp53 regulates transcription of cell cycle genes r-hsa-6791312",-2.10518714115323,NA,-2.14080179988398,NA,-2.25584420338139,NA,-2.27411009233993,"Reactome"
"type i interferon signaling pathway (go:0060337)",3.45609764837582,NA,NA,NA,NA,3.37161123776735,NA,"Gene Ontology BP"
"unattached kinetochores signal amplification via a mad2 inhibitory signal r-hsa-141444",-3.30580783038104,-2.97011466127583,-3.15712630452647,-2.69490522483343,-2.84004848351584,-2.77857387737275,-2.92251136112636,"Reactome"
