"","hsa-miR-1827","hsa-miR-323a-3p","hsa-miR-449b-5p","hsa-miR-4774-3p","hsa-miR-491-3p","hsa-miR-5681b","hsa-miR-892b"
"DNA metabolic process (go:0006259)",-2.19712421234313,-2.23168209092831,-2.40331924712139,-1.9785633507378,-2.36837767929808,-2.00388219054125,-2.18519931298642
"DNA repair (go:0006281)",-2.03902091777557,-1.92821173944809,-2.06313781258744,-1.77674774401259,-2.04179371383933,-1.76545752427558,-1.99512570257885
"DNA replication (go:0006260)",-2.51795231394668,-2.55635172933269,-2.55676977862346,-2.05127246459933,-2.54223241091626,-2.27506746506621,-2.34829803370603
"DNA replication initiation (go:0006270)",-2.18081655645995,-2.18375241050477,-2.2991673920288,NA,-2.29728980535005,-2.08530246475283,-2.29736818432978
"DNA replication-independent nucleosome assembly (go:0006336)",-2.57870396006667,NA,-2.55027607225253,NA,-2.34578041638294,-2.14521131820371,-2.36521267270912
"DNA-dependent dna replication (go:0006261)",-1.93020678172825,-2.37528845556852,-2.32442439290287,-1.8670342800925,-2.43146465674887,-1.97291400312347,-2.18010402397648
"Defense response to bacterium (go:0042742)",2.39623495506181,NA,NA,NA,NA,NA,NA
"Defense response to symbiont (go:0140546)",3.24191484634855,NA,NA,NA,NA,3.45033773403105,NA
"Defense response to virus (go:0051607)",3.2189887386611,NA,NA,NA,NA,3.32008203042749,NA
"Deposition Of New CENPA-containing Nucleosomes At Centromere R-HSA-606279",-2.57712793657931,NA,NA,NA,NA,NA,NA
"Double-strand break repair via homologous recombination (go:0000724)",-2.08169712079088,-2.44552592858551,-2.1791093204097,-1.99690070240697,-2.3393325670311,-2.03282656549424,-2.34813704789222
"EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025",-3.26071075679436,-2.95734043050167,-3.12893952174932,-2.61906655942527,-2.85705485859551,-2.7409205576994,-2.90205816725997
"Factors Involved In Megakaryocyte Development And Platelet Production R-HSA-983231",-2.44770972357617,-2.0478801377053,-2.23708601833213,-2.07881199932971,-2.18119029280259,-1.98844465295291,-2.43234701823443
"G1/S Transition R-HSA-69206",-2.18214117519743,-2.43311838635088,-2.63721724413091,-2.12223370521356,-2.59260717568392,-2.30007802599719,-2.54983862787938
"G1/s transition of mitotic cell cycle (go:0000082)",-1.93402565063886,NA,-2.19848371789989,-1.80030735009086,-2.09735186002178,-1.91455060304581,-2.11132121041131
"G2/M Checkpoints R-HSA-69481",-2.18683817199991,-2.48920881071527,-2.50814881052343,-2.04557756112967,-2.53557750101552,-2.13098700673575,-2.45494406814039
"G2/M DNA Damage Checkpoint R-HSA-69473",-1.95537314983222,NA,NA,NA,-2.05346407105791,NA,-2.01630937508545
"G2/M Transition R-HSA-69275",-2.55298001825425,-2.25840439577514,-2.66169712844646,-2.34716832806767,-2.45750898017293,-2.25736224008192,-2.49379464677725
"G2/m transition of mitotic cell cycle (go:0000086)",-2.25686799236733,-1.87073477371671,-2.45028291234705,-2.11919585952037,-2.24745420828253,-2.21462327347792,-2.24599752705081
"Golgi-to-ER Retrograde Transport R-HSA-8856688",-2.33250552777995,-2.27690545531758,-2.29320394088082,-2.13764553444462,-2.05486169243711,-2.17248834595322,-2.38754101935031
"HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567",-2.28989849603079,-2.14460685834777,-2.24012160110724,NA,-2.16199815702482,-2.13143534160522,-1.95437037259174
"HDR Thru Homologous Recombination (HRR) R-HSA-5685942",-2.24524313508758,-1.92249300214131,-2.09786468871096,NA,-2.02622146907632,-1.95886483186632,NA
"Hemostasis R-HSA-109582",-1.87705165879672,NA,-1.85355846885645,NA,NA,-1.71745184953793,-1.8555630889875
"Histone exchange (go:0043486)",-2.52109687378287,NA,-2.45792617433965,NA,-2.2908675638988,-2.05023035943955,-2.30237744009042
"Homology Directed Repair R-HSA-5693538",-2.32316564588499,-2.16683561669376,-2.28657625954576,NA,-2.1927310382986,-2.1583469768276,-1.96957916679968
"Immune System R-HSA-168256",1.41171503220573,NA,NA,NA,NA,NA,NA
"Inflammatory response (go:0006954)",2.25140051158543,NA,NA,NA,3.04848406996857,NA,NA
"Innate immune response (go:0045087)",2.93220292784638,NA,NA,NA,NA,2.22248371262311,NA
"Interferon Alpha/Beta Signaling R-HSA-909733",3.79040651515347,NA,NA,NA,NA,3.36199008704676,NA
"Interferon Gamma Signaling R-HSA-877300",2.72118279068198,NA,NA,NA,NA,2.78052774672234,NA
"Interferon Signaling R-HSA-913531",3.27865589182493,NA,NA,NA,NA,3.17250182989581,NA
"Interferon-gamma-mediated signaling pathway (go:0060333)",2.50243006785727,NA,NA,NA,NA,2.68404889474845,NA
"Interleukin-1 Family Signaling R-HSA-446652",2.03720849900287,NA,NA,NA,NA,NA,NA
"Interstrand cross-link repair (go:0036297)",-2.09565883295236,NA,-2.15239202399055,NA,-2.09537890687803,NA,-2.19824923264966
"Intra-Golgi And Retrograde Golgi-to-ER Traffic R-HSA-6811442",-2.05055191983177,-2.15904105802951,-2.05978640169273,-1.89493345982701,-1.75870738926034,-2.03825719032441,-2.15280827883296
"Kinesins R-HSA-983189",-2.69113051967054,NA,-2.48641500372012,NA,NA,NA,-2.51198551716347
"M Phase R-HSA-68886",-3.08252514255256,-2.93506063701525,-3.04607667387315,-2.51503593001327,-2.6634803958474,-2.67191528797576,-2.84677704318004
"MHC Class II Antigen Presentation R-HSA-2132295",-2.10584955130899,-2.03372870216098,-2.04909839411549,-1.97939718393439,-1.87466888049764,-2.04449986070536,-2.07565900578589
"Microtubule cytoskeleton organization involved in mitosis (go:1902850)",-3.48569816416902,-3.07598347533898,-3.31344472224538,-2.69315346208998,-2.98224211840019,-2.80268243311861,-3.09415387857655
"Mitotic Anaphase R-HSA-68882",-3.0910522288362,-2.95762184268542,-3.08384743197426,-2.58056027506948,-2.75888824428698,-2.72054245203594,-2.87571575568285
"Mitotic G1 Phase And G1/S Transition R-HSA-453279",-2.36606289004434,-2.50505071945679,-2.68187673357195,-2.22472163657577,-2.65805866237559,-2.39946876976951,-2.54633669000265
"Mitotic G2-G2/M Phases R-HSA-453274",-2.5850565627008,-2.31041739675967,-2.68848852246849,-2.27157604028698,-2.47085822791459,-2.282147006763,-2.52799233516888
"Mitotic Metaphase And Anaphase R-HSA-2555396",-3.10449033378418,-2.9749502926499,-3.09785274673519,-2.59605383628904,-2.77235571082443,-2.73839553538642,-2.88978504872475
"Mitotic Prometaphase R-HSA-68877",-3.34288739629423,-2.92814461352281,-3.22276695618273,-2.64784139495329,-2.80288820328235,-2.77525448475508,-2.93095621444174
"Mitotic Spindle Checkpoint R-HSA-69618",-3.29867017947776,-2.98453427649972,-3.10973600338142,-2.61551561741861,-2.84521321310476,-2.71495123932297,-2.91267824472304
"Mitotic cell cycle phase transition (go:0044772)",-2.35643404134842,-1.98151449600203,-2.42831709432101,-2.06670255990177,-2.31213838903522,-2.20999769590157,-2.33033875472486
"Mitotic cytokinesis (go:0000281)",-2.69470499472365,-2.30538047513403,-2.51431002335985,NA,-2.33625403783594,-2.27447741867347,-2.40058950420866
"Mitotic metaphase plate congression (go:0007080)",-2.79356956082272,-2.52494260120143,-2.62688499813502,-2.39879564446659,-2.48027928759668,-2.37124875889241,-2.6315400243112
"Mitotic nuclear division (go:0140014)",-2.95100941756696,-2.68459785028138,-2.81562668866544,-2.4822664766655,-2.61161656947194,-2.50917143678097,-2.69656454644151
"Mitotic sister chromatid segregation (go:0000070)",-3.27022938226173,-2.83724442414196,-3.14787452577274,-2.69129211013347,-2.81772365176247,-2.66253003000717,-3.02482072023375
"Mitotic spindle organization (go:0007052)",-3.48165130929225,-3.11360111603748,-3.25802907649354,-2.69225456251621,-2.96468971009297,-2.75288470881656,-3.09315726997168
"Modification-dependent protein catabolic process (go:0019941)",-2.12037184373311,NA,NA,-1.78499770960456,-1.86467455563874,NA,-1.96486040701285
"Negative regulation of cell cycle process (go:0010948)",-2.27834447172725,NA,NA,NA,NA,NA,-2.1210502028914
"Negative regulation of viral genome replication (go:0045071)",2.80425498524802,NA,NA,NA,NA,NA,NA
"Negative regulation of viral process (go:0048525)",3.15159065646957,NA,NA,NA,NA,3.3905387968725,NA
"Phosphorylation (go:0016310)",-1.82724543093906,NA,NA,NA,NA,NA,NA
"Positive regulation of cell cycle process (go:0090068)",-2.74448101084149,-2.38712052222839,-2.56189096744159,-2.10414627007129,-2.37696528992489,-2.16353386486587,-2.515789452592
"Positive regulation of type i interferon production (go:0032481)",2.64067447138789,NA,NA,NA,NA,2.09211356790743,NA
"Processing Of DNA Double-Strand Break Ends R-HSA-5693607",-1.98497999670678,NA,-1.96717650374849,NA,-1.95892154947739,NA,NA
"Proteasome-mediated ubiquitin-dependent protein catabolic process (go:0043161)",-1.86070902637848,-1.84537674171153,NA,-1.85349873596474,-1.7768931490079,NA,-1.8554909681255
"Protein phosphorylation (go:0006468)",-1.87721179898785,NA,NA,NA,NA,NA,-2.01596172192072
"RAC2 GTPase Cycle R-HSA-9013404",-1.99011427476546,NA,NA,NA,NA,NA,NA
"RAC3 GTPase Cycle R-HSA-9013423",-2.0001864507301,NA,NA,NA,NA,NA,NA
"RHO GTPase Effectors R-HSA-195258",-3.03349362070534,-2.76316707115523,-2.8610237463661,-2.42255344385098,-2.79079211477525,-2.59611373795202,-2.79293872231923
"RHO GTPases Activate Formins R-HSA-5663220",-3.28744067637775,-2.96873631532387,-3.0733417048772,-2.59829421803515,-2.86390805291119,-2.71846776668794,-2.8902515774974
"RHOA GTPase Cycle R-HSA-8980692",-2.06430941926934,NA,-1.93932279486066,NA,NA,NA,-2.15242276628883
"RHOC GTPase Cycle R-HSA-9013106",-2.0690102278284,NA,-1.91898500693219,NA,NA,NA,NA
"RHOQ GTPase Cycle R-HSA-9013406",-1.93472440450665,NA,NA,NA,NA,NA,NA
"Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408",-2.25505987778034,NA,-2.23175630332366,NA,-2.32835591429258,-2.06626981348959,-2.4362460672772
"Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942",-2.08919241678921,NA,-2.1391059704563,NA,-1.92019170263503,-2.004632453236,-1.94267950199764
"Regulation Of TP53 Activity R-HSA-5633007",-1.88180120592227,-1.86032674068796,-1.92452654197873,NA,-1.99442944084398,NA,-1.94125094804402
"Regulation Of TP53 Activity Thru Phosphorylation R-HSA-6804756",-1.93091875057148,-1.94790336394673,-1.93224983219949,NA,-2.04301326309287,NA,-1.98515963717504
"Regulation of cell cycle (go:0051726)",-2.18796452850108,-2.14590061263091,-2.328818782318,-2.11812966222178,-2.27281198326462,-2.0541811519684,-2.35741347231096
"Regulation of cell cycle g2/m phase transition (go:1902749)",-2.43783010638279,-1.97394134139085,-2.46027618237543,-2.3410310148167,-2.20237861067762,-2.24008162765793,-2.33591550336251
"Regulation of cell cycle phase transition (go:1901987)",-2.32377370255728,NA,-2.1024363981161,-2.06524062115347,-2.21880614961974,-2.05394599272537,-2.39658055634357
"Regulation of cell cycle process (go:0010564)",-2.72865862583215,-2.32830914571411,-2.56291817627662,-2.2136689410751,-2.5474668019307,-2.34250734590558,-2.61031579172027
"Regulation of cell division (go:0051302)",-2.47772115577916,-2.02336037348056,-2.38755814473163,NA,-2.18472803051234,NA,-2.31147660125936
"Regulation of cyclin-dependent protein kinase activity (go:1904029)",-2.5303664398272,NA,-2.40237537695117,-2.03781057053387,-2.42624194388068,NA,-2.1496498291222
"Regulation of cyclin-dependent protein serine/threonine kinase activity (go:0000079)",-2.36369591068926,-2.16442608030168,-2.42955202165534,-2.13140481617653,-2.4488847762659,-2.2695526420897,-2.23200264477425
"Regulation of cytokinesis (go:0032465)",-2.55994822621903,-2.1349224726781,-2.52525162677314,-2.18182507502504,-2.30659493676336,-2.2821717505079,-2.42721550118729
"Regulation of g2/m transition of mitotic cell cycle (go:0010389)",-2.35394992226531,-2.14650329175402,-2.46931061419281,-2.25222933920609,-2.30129605591012,-2.11380249012088,-2.50360733180692
"Regulation of immune response (go:0050776)",2.09001553489916,NA,NA,NA,NA,NA,NA
"Regulation of intracellular signal transduction (go:1902531)",-1.84588085765826,-1.7847368634233,-1.82232375661058,NA,NA,NA,-1.92770583151063
"Regulation of mitotic cell cycle (go:0007346)",-2.30868337027185,-2.04147229233137,-2.34575008829363,-2.30217544830409,-2.26832897323427,-2.11635677989211,-2.5357784350471
"Regulation of mitotic cell cycle phase transition (go:1901990)",-2.61998097011907,-2.32901958986115,-2.43627640808848,-2.48324204231194,-2.43040864717019,-2.31982743207347,-2.53234184628637
"Regulation of protein serine/threonine kinase activity (go:0071900)",-2.16784819028189,NA,-2.26028567491533,-1.96657799913811,-2.33715133412979,-2.23636468538854,-1.96866955236824
"Regulation of type i interferon production (go:0032479)",2.25001338744143,NA,NA,NA,NA,2.04483296423344,NA
"Regulation of viral genome replication (go:0045069)",2.91833930187381,NA,NA,NA,NA,NA,NA
"Resolution Of Sister Chromatid Cohesion R-HSA-2500257",-3.38198742783077,-3.02330679125467,-3.24169378551129,-2.6933246653326,-2.92286984544279,-2.85358900786598,-3.02990869738829
"Response to cytokine (go:0034097)",2.41039088623613,NA,NA,NA,NA,2.41161886983273,NA
"Role Of GTSE1 In G2/M Progression After G2 Checkpoint R-HSA-8852276",-2.02044396161398,NA,-2.23987360676024,NA,NA,NA,NA
"S Phase R-HSA-69242",-2.2402629499703,-2.3143784577746,-2.588367127443,-1.99057049608711,-2.48635968453746,-2.22456568553224,-2.35097755365001
"SUMOylation Of DNA Replication Proteins R-HSA-4615885",-1.96570816903119,NA,-2.13510844743504,NA,NA,NA,NA
"Separation Of Sister Chromatids R-HSA-2467813",-3.2154290497992,-2.95505093462618,-3.10681110791993,-2.61716090621671,-2.81932183729407,-2.69115931430997,-2.96144298575559
"Signal Transduction R-HSA-162582",-1.71686457855587,NA,-1.83267214988367,-1.40158100244793,-1.40950393907861,-1.5501965578515,-1.77617957652792
"Signaling By Rho GTPases R-HSA-194315",-2.56247448100919,-2.41483244413331,-2.44654506140759,-2.08538483081302,-2.28265424188148,-1.98977224247224,-2.44541903886038
"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",-2.52457551288574,-2.3780183960083,-2.40086864220107,-2.06156309982802,-2.27712162751614,-1.97108662845786,-2.41398774902874
"Sister chromatid segregation (go:0000819)",-2.90571399174439,-2.64804877484414,-2.84375755157724,-2.47735846635766,-2.6024734873139,-2.59732373960794,-2.71051436311277
"Synthesis Of DNA R-HSA-69239",-2.10727699803673,-2.4448693872927,-2.5071976048375,-2.07469846361475,-2.47868795453901,-2.18321411656225,-2.24380454350728
"TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312",-2.0726000940778,NA,-2.13924576086343,NA,NA,NA,-2.22811335793466
"Tumor necrosis factor-mediated signaling pathway (go:0033209)",2.24686029817063,NA,NA,NA,NA,NA,NA
"Type i interferon signaling pathway (go:0060337)",3.76393705986632,NA,NA,NA,NA,3.57474714216591,NA
"Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444",-3.27646727671936,-2.97791163108429,-3.1410974192449,-2.61906655942527,-2.8586299409352,-2.75173880403929,-2.91976922601007
