"","hsa.miR.1827","hsa.miR.323a.3p","hsa.miR.449b.5p","hsa.miR.4774.3p","hsa.miR.491.3p","hsa.miR.5681b","hsa.miR.892b"
"m phase r-hsa-68886",-3.11468465662931,-2.93675827945121,-3.00876446853763,-2.49995923402931,-2.65741653388588,-2.66348515668091,-2.88968300854114
"mhc class ii antigen presentation r-hsa-2132295",-2.07520947266352,-2.09930689850714,-2.05409355312143,-2.1098972163422,-1.87997263691535,-2.04820170430289,-2.09064211570429
"microtubule cytoskeleton organization involved in mitosis (go:1902850)",-3.46552582338392,-3.10070986863997,-3.30536457366503,-2.74411534549442,-2.98600370154346,-2.90139147312226,-3.08411605089576
"mitotic anaphase r-hsa-68882",-3.13945935826776,-2.97009633934119,-3.06662014221817,-2.59863345303679,-2.74802726700683,-2.73638121366505,-2.93594681379125
"mitotic cell cycle phase transition (go:0044772)",-2.35665946752599,-2.1055761292791,-2.50293606469687,-2.13171862012121,-2.27127714939763,-2.28926164947827,-2.3577418861174
"mitotic g1 phase and g1/s transition r-hsa-453279",-2.39643635302739,-2.59734200198656,-2.78091467400722,-2.35439911818825,-2.75462879669662,-2.48528598282582,-2.65445456903562
"mitotic g2-g2/m phases r-hsa-453274",-2.52993288462654,-2.34495565135101,-2.61847933859208,-2.25774582255552,-2.43419502567304,-2.25111421235344,-2.51734196703304
"mitotic metaphase and anaphase r-hsa-2555396",-3.15251217907506,-2.98787728333603,-3.08057918292831,-2.6141030253226,-2.76059067341036,-2.75372517368734,-2.94825455778911
"mitotic metaphase plate congression (go:0007080)",-2.78608103807699,-2.55752854300803,-2.65075999983453,-2.47590238280876,-2.54006735318833,-2.44293836169377,-2.65164785556299
"mitotic nuclear division (go:0140014)",-2.95396826150022,-2.69090215642328,-2.78817003538304,-2.53601423568406,-2.63163513794327,-2.57788120778892,-2.70984366034388
"mitotic prometaphase r-hsa-68877",-3.33614745577142,-2.95798937285873,-3.20409330602177,-2.65874267520674,-2.81690220185315,-2.79613588531306,-2.95009411934426
"mitotic sister chromatid segregation (go:0000070)",-3.311064089861,-2.94220669354456,-3.16252406322879,-2.7569405866058,-2.86552067998779,-2.7366898653887,-3.01962096868451
"mitotic spindle checkpoint r-hsa-69618",-3.31504041562117,-3.0048496021151,-3.11291632442223,-2.67201745835437,-2.85010165935132,-2.75397272723776,-2.98549159468481
"mitotic spindle organization (go:0007052)",-3.44825925833778,-3.08779054893414,-3.23610455300895,-2.72102780158474,-2.95487572260556,-2.83124455225158,-3.07399696111188
"oocyte meiosis",-2.60643048183206,-2.42811991689099,-2.44888162970791,-2.44120431420555,-2.50466906729033,-2.36265980152733,-2.61146090436145
"positive regulation of cell cycle process (go:0090068)",-2.66060691755064,-2.48408305620247,-2.58834557605976,-2.19314831231399,-2.36547700968732,-2.31303392441322,-2.56990644757473
"progesterone-mediated oocyte maturation",-2.50250375262528,-2.51099971114095,-2.49645136947712,-2.23186044926938,-2.37824692021445,-2.28410940349642,-2.54416268140902
"regulation of cell cycle (go:0051726)",-2.0960250948908,-2.33996225604337,-2.2656740590326,-2.21150246268882,-2.2086215316744,-2.02628970804936,-2.33887633245964
"regulation of cell cycle g2/m phase transition (go:1902749)",-2.48870141736953,-2.052080304142,-2.43569024703639,-2.33714989843637,-2.17692107489135,-2.24119403308101,-2.38076846915982
"regulation of cell cycle phase transition (go:1901987)",-2.31973336144595,-2.06352345748615,-2.16846959622862,-2.1450670207077,-2.22237426663248,-2.1394330325839,-2.4310963399913
"regulation of cell cycle process (go:0010564)",-2.76934508847222,-2.34717640799552,-2.60614112740113,-2.27603600738892,-2.59014128850903,-2.3596201307661,-2.62698277025761
"regulation of cyclin-dependent protein kinase activity (go:1904029)",-2.53910203117176,-2.06622466512575,-2.45106526416646,-2.14015807018232,-2.45308186868044,-2.25286935751062,-2.20720191750067
"regulation of cyclin-dependent protein serine/threonine kinase activity (go:0000079)",-2.36370220125256,-2.15948601151964,-2.45233739743569,-2.21021120710059,-2.48298060381354,-2.33522759426576,-2.30319900354627
"regulation of cytokinesis (go:0032465)",-2.56074873353559,-2.19473251539107,-2.5515752920022,-2.21781925550828,-2.37394171638605,-2.30041600592724,-2.46342383035047
"regulation of g2/m transition of mitotic cell cycle (go:0010389)",-2.39054699317798,-2.1933300516951,-2.47150452096727,-2.20904111418739,-2.30428082737995,-2.16106097125269,-2.52544141449833
"regulation of mitotic cell cycle (go:0007346)",-2.33227554098422,-2.14899224938668,-2.31429103471237,-2.42455891681208,-2.22914672413007,-2.1261932295105,-2.49825949566403
"regulation of mitotic cell cycle phase transition (go:1901990)",-2.62063996461027,-2.45353687530941,-2.50872996297778,-2.46015406175098,-2.40902195863698,-2.34856345702259,-2.56054490034913
"regulation of plk1 activity at g2/m transition r-hsa-2565942",-2.16039042586784,-1.98072649273085,-2.12018439611771,-2.05224683355606,-1.89665645677284,-1.98980113276002,-2.07745760283366
"regulation of protein serine/threonine kinase activity (go:0071900)",-2.16287845483231,-1.90340884128137,-2.34965932744839,-2.03831449532128,-2.318420493514,-2.31742993705092,-2.1213446683905
"resolution of sister chromatid cohesion r-hsa-2500257",-3.39339101438509,-3.0232406027205,-3.23903442735997,-2.74985983009881,-2.92715609966349,-2.89084247587117,-3.03861176934143
"rho gtpase effectors r-hsa-195258",-3.04694431930818,-2.74296111726866,-2.86597331402329,-2.44625340139237,-2.76644083595852,-2.60470071047535,-2.83472131895829
"rho gtpases activate formins r-hsa-5663220",-3.29835000002282,-2.93275702092849,-3.06305881887941,-2.64065887100051,-2.86051345124976,-2.7582637551822,-2.9135929937989
"s phase r-hsa-69242",-2.3334728694728,-2.34237653743729,-2.62246150918225,-2.12622563541319,-2.58510889162459,-2.28064365851743,-2.41943917994983
"separation of sister chromatids r-hsa-2467813",-3.21994890623498,-3.00268575038729,-3.08430981505147,-2.66275645346041,-2.82315049573431,-2.71983483394745,-2.99067384730634
"signaling by rho gtpases r-hsa-194315",-2.55175406997184,-2.36559355488482,-2.4325634835836,-2.00439503537189,-2.23900280603642,-1.97041316674156,-2.4460738850047
"signaling by rho gtpases, miro gtpases and rhobtb3 r-hsa-9716542",-2.51148348576079,-2.33598154246779,-2.43508559045759,-2.00369644362456,-2.22710341905951,-1.97093246684739,-2.41699994547647
"sister chromatid segregation (go:0000819)",-2.90947180986268,-2.70645236810371,-2.8685087498497,-2.54280251031097,-2.63905944348307,-2.62834062736369,-2.71541479430519
"synthesis of dna r-hsa-69239",-2.21140336000238,-2.44351113880347,-2.54373766463865,-2.28319726715528,-2.57954119554033,-2.2560113997869,-2.33640428299406
"unattached kinetochores signal amplification via a mad2 inhibitory signal r-hsa-141444",-3.29255959042682,-2.97430763917796,-3.14724896345454,-2.67693302054002,-2.86581655391722,-2.79010596221115,-2.9684793635585
