"","hsa-miR-1827","hsa-miR-323a-3p","hsa-miR-449b-5p","hsa-miR-4774-3p","hsa-miR-491-3p","hsa-miR-5681b","hsa-miR-892b"
"chromatin remodeling at centromere (go:0031055)",-2.67751854500413,NA,-2.49938543200027,NA,-2.44111722154898,-2.16934043808782,-2.36079767261757
"chromosome maintenance r-hsa-73886",-2.65302198712085,-2.26962353461153,-2.49924520020296,-1.93411931434536,-2.50190941538179,-2.07416408448933,-2.38305467808199
"chromosome organization (go:0051276)",-1.9606919586755,-2.17661004892131,-2.25238264800436,NA,-1.90538111514903,-2.00062689943458,-2.0585249532009
"ciliary basal body-plasma membrane docking (go:0097711)",-1.96769860663909,NA,NA,NA,NA,NA,NA
"copi-dependent golgi-to-er retrograde traffic r-hsa-6811434",-2.44374629796839,-2.40752296027914,-2.42454330484828,-2.29344118357423,-2.29124532476143,-2.40410447965916,-2.49655309336213
"coronavirus disease",2.62551353767013,NA,NA,NA,2.1945948870229,2.39871194786894,NA
"cytokine signaling in immune system r-hsa-1280215",2.45656730342479,NA,NA,NA,1.83387877703948,1.86464647168555,NA
"cytokine-cytokine receptor interaction",2.18349393833627,NA,NA,NA,3.09979885587409,NA,NA
"cytokine-mediated signaling pathway (go:0019221)",2.92044030148667,NA,NA,NA,2.15749165601649,2.167487098544,NA
"cytoskeleton-dependent cytokinesis (go:0061640)",-2.85341009544678,-2.50148596235059,-2.68528292588665,-2.25918968503894,-2.47640604222187,-2.40271793963005,-2.52332752187398
"ddx58/ifih1-mediated induction of interferon-alpha/beta r-hsa-168928",2.22406630243357,NA,NA,NA,NA,NA,NA
"defense response to bacterium (go:0042742)",2.38460025927884,NA,NA,NA,NA,NA,NA
"defense response to symbiont (go:0140546)",3.22324356870314,NA,2.2642119737178,NA,NA,3.35961875198262,NA
"defense response to virus (go:0051607)",3.20294029764604,NA,2.18846502177431,NA,NA,3.20620934621598,NA
"deposition of new cenpa-containing nucleosomes at centromere r-hsa-606279",-2.6509818609889,NA,-2.43094937060005,NA,-2.40221287588802,NA,NA
"dna damage response, signal transduction by p53 class mediator (go:0030330)",-1.96666468554459,NA,-2.1128872282423,NA,-2.23268975036737,-2.18627899536703,-2.12555481603439
"dna double-strand break repair r-hsa-5693532",-2.25437401841087,-2.17388249063697,-2.10610499901563,-1.93182569087697,-2.2055244006106,-2.02540414684485,-1.93415518387961
"dna metabolic process (go:0006259)",-2.25079741759843,-2.36141657999221,-2.36088919338681,-2.068957479223,-2.42568363662409,-1.96242657719519,-2.21462478417208
"dna repair (go:0006281)",-2.00818526828118,-2.17247943900531,-1.94631901264803,-1.84056858373109,-2.09186559608075,-1.79771030800715,-1.88598290372883
"dna repair r-hsa-73894",-1.90244572892847,-2.07046482299952,-1.92855711134683,-1.87962584604225,-2.11864675700074,-1.71556573106877,-1.91174944931753
"dna replication",-2.00676122982376,-2.09287783390847,-1.97132025446848,NA,-2.28198408473264,NA,-2.01262227126107
"dna replication (go:0006260)",-2.59920886122036,-2.57255342391757,-2.6160645824731,-2.20482105266276,-2.620712142773,-2.29034684133299,-2.43027095730639
"dna replication initiation (go:0006270)",-2.28814119954848,-2.26819732100097,-2.3853687941632,-2.05613054776309,-2.37974426820656,-2.20581321323678,-2.38154186027756
"dna replication r-hsa-69306",-2.25451126106563,-2.47482907184062,-2.57424715062949,-2.30559773502845,-2.57282310697051,-2.2955413589774,-2.37292352928086
"dna replication-independent nucleosome assembly (go:0006336)",-2.65524639818249,-2.37896577794874,-2.54360601174911,NA,-2.44680963804461,-2.19614546709949,-2.36639099612677
"dna strand elongation r-hsa-69190",-2.33313214942447,-2.14960802351485,-2.27365753997171,-1.91836654088529,-2.36921541250293,-2.05756884396368,-2.11628418639653
"dna-dependent dna replication (go:0006261)",-2.07105504804262,-2.41722309965188,-2.35224653242191,-2.00585282543381,-2.50481531501957,-2.04923080424761,-2.20926186876451
"double-strand break repair (go:0006302)",-1.88082595845111,-2.25102725896506,NA,-1.89338484639105,-2.05498425070086,NA,-2.02567893026743
"double-strand break repair via homologous recombination (go:0000724)",-2.17598783888234,-2.55187254143557,-2.20953921552697,-2.14147485934189,-2.37752564842823,-2.0900788359977,-2.34547082491011
"eml4 and nudc in mitotic spindle formation r-hsa-9648025",-3.27758777178477,-2.95008748965452,-3.13248059340373,-2.67693302054002,-2.86244147122584,-2.77977389123164,-2.94803619373573
"extension of telomeres r-hsa-180786",-1.98564742606466,NA,NA,NA,-1.91710611674288,NA,NA
"factors involved in megakaryocyte development and platelet production r-hsa-983231",-2.42585843558605,-2.13449512495769,-2.29946654311079,-2.1572704151945,-2.18039659484797,-2.08003744901867,-2.41568756667645
"fanconi anemia pathway",-1.97158478356485,NA,NA,NA,-1.9143407902711,NA,NA
"g1/s transition of mitotic cell cycle (go:0000082)",-1.95159413821902,-1.97745786552844,-2.29964110181844,-1.86508581625242,-2.17700012979131,-2.03681012186385,-2.22307952943169
"g1/s transition r-hsa-69206",-2.28243669651729,-2.50446449680247,-2.74258135373601,-2.26080097125172,-2.68719082957462,-2.38511935807663,-2.67287427754721
"g2/m checkpoints r-hsa-69481",-2.3154556131726,-2.55388674547348,-2.62405902502159,-2.22556926795476,-2.56711218174047,-2.18835865469872,-2.51764600550608
"g2/m dna damage checkpoint r-hsa-69473",-2.08896602359775,NA,-2.00971156902422,NA,-2.08269090150899,NA,-2.02194426949611
"g2/m transition of mitotic cell cycle (go:0000086)",-2.33222558958065,-1.9633323815201,-2.35595470116883,-2.06513432445697,-2.21681532289292,-2.21427716240187,-2.25723530349702
"g2/m transition r-hsa-69275",-2.50107107722568,-2.30016889234263,-2.59049368193698,-2.281801952202,-2.41907501553482,-2.21173090202837,-2.4853814620735
"golgi-to-er retrograde transport r-hsa-8856688",-2.31934087962877,-2.35943950654545,-2.27345669773293,-2.21020511423418,-2.07536289710971,-2.20270195465264,-2.43332307119069
"hdr thru homologous recombination (hrr) or single strand annealing (ssa) r-hsa-5693567",-2.34345853686855,-2.20978134631055,-2.24176510117366,-1.96500363641969,-2.22592604020741,-2.12400470612767,-1.94723784240871
"hdr thru homologous recombination (hrr) r-hsa-5685942",-2.28218766546263,-1.99308278389435,-2.11384323194943,NA,-2.14749946524192,-1.92872376336469,NA
"hemostasis r-hsa-109582",-1.73901416806222,NA,-2.02744486446655,NA,NA,-1.80799215269456,-1.84444806338068
"hepatitis c",1.88320709636167,NA,NA,NA,NA,2.39421193008447,NA
"herpes simplex virus 1 infection",2.00103529070738,NA,NA,NA,NA,1.83944703136216,NA
"histone exchange (go:0043486)",-2.59750120508526,-2.34085780370322,-2.42778482180992,NA,-2.38950789108951,-2.10786429518167,-2.31544409020049
"homologous dna pairing and strand exchange r-hsa-5693579",-2.06144912877275,NA,NA,NA,-2.0274131256475,NA,NA
"homology directed repair r-hsa-5693538",-2.37002565012017,-2.23440383037729,-2.29317558245525,-1.99275271737415,-2.2500227785081,-2.12581718815671,-1.96665226507033
"il-17 signaling pathway",2.14131254779357,NA,NA,NA,2.88694947903949,NA,NA
"immune system r-hsa-168256",1.4008076981213,NA,NA,NA,NA,NA,-1.40934018849137
"inflammatory response (go:0006954)",2.34866668909561,NA,NA,NA,2.82829040912752,NA,NA
"influenza a",2.09858799834763,NA,NA,NA,NA,2.59396898681146,NA
"innate immune response (go:0045087)",2.90051571628716,NA,NA,NA,NA,2.36258820474418,NA
"interferon alpha/beta signaling r-hsa-909733",3.61182616487185,NA,2.5721067344322,NA,NA,3.44832933310463,NA
"interferon gamma signaling r-hsa-877300",2.55652653735956,2.09123162677405,2.1060498952864,NA,NA,2.62034450419081,NA
"interferon signaling r-hsa-913531",3.04310379630647,NA,NA,NA,NA,3.14342743751472,NA
"interferon-gamma-mediated signaling pathway (go:0060333)",2.39150032779682,NA,2.12393997722027,NA,NA,2.49086643896415,NA
"interstrand cross-link repair (go:0036297)",-2.23266396895729,NA,-2.2126819067367,-2.03326120693835,-2.14865993973985,-2.10325871701868,-2.2518646396315
"intra-golgi and retrograde golgi-to-er traffic r-hsa-6811442",-2.03469876250821,-2.2362799711626,-1.98741882022274,-1.90405968890811,-1.81238189252938,-2.02291199147502,-2.11919502680759
"kinesins r-hsa-983189",-2.66792651473803,NA,-2.48685530823887,NA,-2.3633881693865,NA,-2.55395720662569
"legionellosis",2.12291637568349,NA,NA,NA,NA,NA,NA
"m phase r-hsa-68886",-3.11468465662931,-2.93675827945121,-3.00876446853763,-2.49995923402931,-2.65741653388588,-2.66348515668091,-2.88968300854114
"measles",2.17272468216504,NA,NA,NA,NA,2.20172025888932,NA
"mhc class ii antigen presentation r-hsa-2132295",-2.07520947266352,-2.09930689850714,-2.05409355312143,-2.1098972163422,-1.87997263691535,-2.04820170430289,-2.09064211570429
"micrornas in cancer",-1.87666958600708,-1.95285485079697,-2.32119657453227,NA,-1.79426247414017,-2.26242621143153,-1.97268880895741
"microtubule cytoskeleton organization involved in mitosis (go:1902850)",-3.46552582338392,-3.10070986863997,-3.30536457366503,-2.74411534549442,-2.98600370154346,-2.90139147312226,-3.08411605089576
"mitotic anaphase r-hsa-68882",-3.13945935826776,-2.97009633934119,-3.06662014221817,-2.59863345303679,-2.74802726700683,-2.73638121366505,-2.93594681379125
"mitotic cell cycle phase transition (go:0044772)",-2.35665946752599,-2.1055761292791,-2.50293606469687,-2.13171862012121,-2.27127714939763,-2.28926164947827,-2.3577418861174
"mitotic cytokinesis (go:0000281)",-2.7489580793828,-2.42004370225938,-2.57592774591067,NA,-2.42213685096125,-2.34072786912595,-2.45932680061666
"mitotic dna damage checkpoint signaling (go:0044773)",-2.28886179157575,NA,-2.21013547997079,NA,-2.10724830001829,-2.05802752076674,-2.25494989343689
"mitotic g1 phase and g1/s transition r-hsa-453279",-2.39643635302739,-2.59734200198656,-2.78091467400722,-2.35439911818825,-2.75462879669662,-2.48528598282582,-2.65445456903562
"mitotic g2-g2/m phases r-hsa-453274",-2.52993288462654,-2.34495565135101,-2.61847933859208,-2.25774582255552,-2.43419502567304,-2.25111421235344,-2.51734196703304
"mitotic metaphase and anaphase r-hsa-2555396",-3.15251217907506,-2.98787728333603,-3.08057918292831,-2.6141030253226,-2.76059067341036,-2.75372517368734,-2.94825455778911
"mitotic metaphase plate congression (go:0007080)",-2.78608103807699,-2.55752854300803,-2.65075999983453,-2.47590238280876,-2.54006735318833,-2.44293836169377,-2.65164785556299
"mitotic nuclear division (go:0140014)",-2.95396826150022,-2.69090215642328,-2.78817003538304,-2.53601423568406,-2.63163513794327,-2.57788120778892,-2.70984366034388
"mitotic prometaphase r-hsa-68877",-3.33614745577142,-2.95798937285873,-3.20409330602177,-2.65874267520674,-2.81690220185315,-2.79613588531306,-2.95009411934426
"mitotic prophase r-hsa-68875",-2.05337146541261,NA,-1.9247309025894,NA,-1.89980942587347,-2.07497297683554,-1.99113430832332
"mitotic sister chromatid segregation (go:0000070)",-3.311064089861,-2.94220669354456,-3.16252406322879,-2.7569405866058,-2.86552067998779,-2.7366898653887,-3.01962096868451
"mitotic spindle checkpoint r-hsa-69618",-3.31504041562117,-3.0048496021151,-3.11291632442223,-2.67201745835437,-2.85010165935132,-2.75397272723776,-2.98549159468481
"mitotic spindle organization (go:0007052)",-3.44825925833778,-3.08779054893414,-3.23610455300895,-2.72102780158474,-2.95487572260556,-2.83124455225158,-3.07399696111188
"modification-dependent protein catabolic process (go:0019941)",-2.06136460987128,NA,-1.81008096640596,-1.96575315698079,-1.83951151383258,NA,-1.98333921655051
"negative regulation of cell cycle process (go:0010948)",-2.25619053048449,-2.18330446727271,-2.28944704086021,NA,-2.20567407581314,-2.02084474516861,-2.18487303745196
"negative regulation of viral genome replication (go:0045071)",2.80980312437147,NA,NA,NA,NA,NA,NA
"negative regulation of viral process (go:0048525)",3.11310657123814,NA,2.2705825644481,NA,NA,3.34216179873041,NA
"nf-kappa b signaling pathway",2.38254335182292,NA,NA,NA,NA,NA,NA
"nod-like receptor signaling pathway",2.79005661701401,NA,NA,NA,NA,2.76195664056683,NA
"nuclear envelope (ne) reassembly r-hsa-2995410",-1.96587129498883,NA,NA,NA,NA,NA,-2.01063625152546
"nuclear envelope breakdown r-hsa-2980766",-2.04300896376948,NA,-2.0652587670246,NA,NA,NA,-1.99799888256122
"oocyte meiosis",-2.60643048183206,-2.42811991689099,-2.44888162970791,-2.44120431420555,-2.50466906729033,-2.36265980152733,-2.61146090436145
"pertussis",2.32868010822953,NA,NA,NA,NA,NA,NA
"positive regulation of cell cycle process (go:0090068)",-2.66060691755064,-2.48408305620247,-2.58834557605976,-2.19314831231399,-2.36547700968732,-2.31303392441322,-2.56990644757473
"positive regulation of mitotic cell cycle phase transition (go:1901992)",-2.59481959441352,NA,-2.54852956025807,-2.14439676655493,-2.46977596934039,-2.31112231507083,-2.55627150571399
"positive regulation of type i interferon production (go:0032481)",2.58895669365665,NA,NA,NA,NA,2.05245169726993,NA
"processing of dna double-strand break ends r-hsa-5693607",-2.09179893831044,NA,-2.0445186040699,NA,-1.98172894469842,NA,NA
"progesterone-mediated oocyte maturation",-2.50250375262528,-2.51099971114095,-2.49645136947712,-2.23186044926938,-2.37824692021445,-2.28410940349642,-2.54416268140902
"proteasome-mediated ubiquitin-dependent protein catabolic process (go:0043161)",-1.76698568160369,NA,NA,-1.82210124213551,-1.78405896664999,NA,-1.82691364422839
"protein phosphorylation (go:0006468)",-1.77155168488787,-1.75963738669333,-1.63963015287712,NA,-1.69204549870341,-1.6991130329059,-2.05145290124077
"rac2 gtpase cycle r-hsa-9013404",-1.9716426754648,NA,NA,NA,NA,NA,NA
"rac3 gtpase cycle r-hsa-9013423",-1.96887087065912,NA,NA,NA,NA,NA,NA
"regulation of apc/c activators between g1/s and early anaphase r-hsa-176408",-2.26932020393436,-2.29143414477156,-2.32015108682926,NA,-2.34585737293729,-2.13009091891156,-2.49795266695285
"regulation of cell cycle (go:0051726)",-2.0960250948908,-2.33996225604337,-2.2656740590326,-2.21150246268882,-2.2086215316744,-2.02628970804936,-2.33887633245964
"regulation of cell cycle g2/m phase transition (go:1902749)",-2.48870141736953,-2.052080304142,-2.43569024703639,-2.33714989843637,-2.17692107489135,-2.24119403308101,-2.38076846915982
"regulation of cell cycle phase transition (go:1901987)",-2.31973336144595,-2.06352345748615,-2.16846959622862,-2.1450670207077,-2.22237426663248,-2.1394330325839,-2.4310963399913
"regulation of cell cycle process (go:0010564)",-2.76934508847222,-2.34717640799552,-2.60614112740113,-2.27603600738892,-2.59014128850903,-2.3596201307661,-2.62698277025761
"regulation of cell division (go:0051302)",-2.40683285972747,-2.04784995734046,-2.3377116901774,NA,-2.21665263422541,NA,-2.34734189008274
"regulation of cyclin-dependent protein kinase activity (go:1904029)",-2.53910203117176,-2.06622466512575,-2.45106526416646,-2.14015807018232,-2.45308186868044,-2.25286935751062,-2.20720191750067
"regulation of cyclin-dependent protein serine/threonine kinase activity (go:0000079)",-2.36370220125256,-2.15948601151964,-2.45233739743569,-2.21021120710059,-2.48298060381354,-2.33522759426576,-2.30319900354627
"regulation of cytokinesis (go:0032465)",-2.56074873353559,-2.19473251539107,-2.5515752920022,-2.21781925550828,-2.37394171638605,-2.30041600592724,-2.46342383035047
"regulation of g2/m transition of mitotic cell cycle (go:0010389)",-2.39054699317798,-2.1933300516951,-2.47150452096727,-2.20904111418739,-2.30428082737995,-2.16106097125269,-2.52544141449833
"regulation of immune response (go:0050776)",1.9858129123149,NA,NA,NA,NA,NA,NA
"regulation of intracellular signal transduction (go:1902531)",-1.77995636920625,NA,-1.81317238872551,NA,NA,NA,-1.9662432489862
"regulation of mitotic cell cycle (go:0007346)",-2.33227554098422,-2.14899224938668,-2.31429103471237,-2.42455891681208,-2.22914672413007,-2.1261932295105,-2.49825949566403
"regulation of mitotic cell cycle phase transition (go:1901990)",-2.62063996461027,-2.45353687530941,-2.50872996297778,-2.46015406175098,-2.40902195863698,-2.34856345702259,-2.56054490034913
"regulation of mitotic nuclear division (go:0007088)",-2.39639724471783,NA,-2.32229976657285,NA,-2.23999716539478,-2.189902775546,-2.56196480869071
"regulation of plk1 activity at g2/m transition r-hsa-2565942",-2.16039042586784,-1.98072649273085,-2.12018439611771,-2.05224683355606,-1.89665645677284,-1.98980113276002,-2.07745760283366
"regulation of protein serine/threonine kinase activity (go:0071900)",-2.16287845483231,-1.90340884128137,-2.34965932744839,-2.03831449532128,-2.318420493514,-2.31742993705092,-2.1213446683905
"regulation of tp53 activity r-hsa-5633007",-1.93320391132205,-1.90462205456349,-1.98301780655153,NA,-2.03374948500306,NA,-1.91972739132054
"regulation of tp53 activity thru phosphorylation r-hsa-6804756",-2.00988693771194,-2.02833200752361,-2.00854465934383,NA,-2.0757927735723,NA,-2.01998599486173
"regulation of type i interferon production (go:0032479)",2.24096527949625,NA,NA,NA,NA,2.14950440179745,NA
"regulation of viral genome replication (go:0045069)",2.88016852665458,NA,2.31275709385862,NA,NA,3.26454547364024,NA
"resolution of sister chromatid cohesion r-hsa-2500257",-3.39339101438509,-3.0232406027205,-3.23903442735997,-2.74985983009881,-2.92715609966349,-2.89084247587117,-3.03861176934143
"response to cytokine (go:0034097)",2.25846980443752,NA,NA,NA,NA,2.4294893797032,NA
"response to interferon-gamma (go:0034341)",3.0424925441122,NA,NA,NA,NA,NA,NA
"response to interleukin-1 (go:0070555)",2.16538852865823,NA,NA,NA,NA,NA,NA
"response to tumor necrosis factor (go:0034612)",2.08648299485882,NA,NA,NA,NA,NA,NA
"rheumatoid arthritis",2.16034771383422,NA,NA,NA,2.65839740595435,NA,NA
"rho gtpase effectors r-hsa-195258",-3.04694431930818,-2.74296111726866,-2.86597331402329,-2.44625340139237,-2.76644083595852,-2.60470071047535,-2.83472131895829
"rho gtpases activate formins r-hsa-5663220",-3.29835000002282,-2.93275702092849,-3.06305881887941,-2.64065887100051,-2.86051345124976,-2.7582637551822,-2.9135929937989
"rhoa gtpase cycle r-hsa-8980692",-2.07528538173245,NA,-2.01325740599764,NA,NA,NA,-2.22890526927691
"rhob gtpase cycle r-hsa-9013026",-2.00940329381655,NA,-2.12279750981381,NA,NA,NA,-2.07922574621897
"rhoc gtpase cycle r-hsa-9013106",-2.10612786976527,NA,-1.95063520297881,NA,NA,NA,-2.0277691429054
"rhog gtpase cycle r-hsa-9013408",-2.07609436865322,NA,-1.962339874316,NA,NA,NA,NA
"rhoj gtpase cycle r-hsa-9013409",-1.98624375835457,NA,-1.99313318669653,NA,NA,NA,NA
"role of gtse1 in g2/m progression after g2 checkpoint r-hsa-8852276",-1.9970443251181,NA,-2.25830214292117,NA,NA,-2.02065959481677,NA
"s phase r-hsa-69242",-2.3334728694728,-2.34237653743729,-2.62246150918225,-2.12622563541319,-2.58510889162459,-2.28064365851743,-2.41943917994983
"separation of sister chromatids r-hsa-2467813",-3.21994890623498,-3.00268575038729,-3.08430981505147,-2.66275645346041,-2.82315049573431,-2.71983483394745,-2.99067384730634
"signal transduction r-hsa-162582",-1.65547768602084,-1.49413105737541,-1.85756096945486,NA,-1.39752519658098,-1.53500227314653,-1.81137515483841
"signaling by rho gtpases r-hsa-194315",-2.55175406997184,-2.36559355488482,-2.4325634835836,-2.00439503537189,-2.23900280603642,-1.97041316674156,-2.4460738850047
"signaling by rho gtpases, miro gtpases and rhobtb3 r-hsa-9716542",-2.51148348576079,-2.33598154246779,-2.43508559045759,-2.00369644362456,-2.22710341905951,-1.97093246684739,-2.41699994547647
"sister chromatid segregation (go:0000819)",-2.90947180986268,-2.70645236810371,-2.8685087498497,-2.54280251031097,-2.63905944348307,-2.62834062736369,-2.71541479430519
"sumoylation of dna replication proteins r-hsa-4615885",-2.0302599209504,NA,-2.17058762537965,NA,-2.01288952607977,-2.178823734646,-2.09949348115229
"synthesis of dna r-hsa-69239",-2.21140336000238,-2.44351113880347,-2.54373766463865,-2.28319726715528,-2.57954119554033,-2.2560113997869,-2.33640428299406
"toll-like receptor signaling pathway",2.01924219806817,NA,NA,NA,NA,NA,NA
"tp53 regulates transcription of cell cycle genes r-hsa-6791312",-2.12110710492407,NA,-2.26093938107259,-2.12513396950204,-2.13513616523352,NA,-2.23397678758689
"transcriptional regulation by e2f6 r-hsa-8953750",-1.96702910883851,NA,NA,NA,NA,NA,NA
"tumor necrosis factor-mediated signaling pathway (go:0033209)",2.27472373372204,NA,NA,NA,NA,NA,NA
"type i interferon signaling pathway (go:0060337)",3.63374586080802,NA,2.65571909000562,NA,NA,3.59066340049758,NA
"unattached kinetochores signal amplification via a mad2 inhibitory signal r-hsa-141444",-3.29255959042682,-2.97430763917796,-3.14724896345454,-2.67693302054002,-2.86581655391722,-2.79010596221115,-2.9684793635585
