"","hsa-miR-1827","hsa-miR-323a-3p","hsa-miR-449b-5p","hsa-miR-4774-3p","hsa-miR-491-3p","hsa-miR-5681b","hsa-miR-892b"
"mitotic g2-g2/m phases r-hsa-453274",-2.57932555403113,-2.27267580254868,-2.6642020639472,-2.23938424374821,-2.38152533970391,-2.27003954664739,-2.4972016205762
"mitotic metaphase and anaphase r-hsa-2555396",-3.14167887596354,-2.95136197705473,-3.09036983236542,-2.61688648121383,-2.77266416324291,-2.73252785828977,-2.89494555445711
"mitotic metaphase plate congression (go:0007080)",-2.75010168822071,-2.53594119525325,-2.61548894285866,-2.35153999329304,-2.46981402564203,-2.37784082067497,-2.63505531325905
"mitotic nuclear division (go:0140014)",-2.89163522140258,-2.68368866332759,-2.82571517585071,-2.42902530926213,-2.61359572025028,-2.5062194966832,-2.73341696778874
"mitotic prometaphase r-hsa-68877",-3.35876450868251,-2.90998882413381,-3.20653621301572,-2.66630961876278,-2.76108145863462,-2.7654996700168,-2.95924396943043
"mitotic sister chromatid segregation (go:0000070)",-3.20443574132866,-2.81021566160618,-3.10681543636723,-2.65540649587844,-2.77931001978109,-2.64115315468324,-3.00228590736597
"mitotic spindle checkpoint r-hsa-69618",-3.31452089428481,-2.98057774473531,-3.11681925594527,-2.61419091383901,-2.8635871274225,-2.72296473754738,-2.93858157559517
"mitotic spindle organization (go:0007052)",-3.50963994156256,-3.11405392493914,-3.25413081118416,-2.71301826704896,-2.96256911072443,-2.7302435779899,-3.12206498312128
"modification-dependent protein catabolic process (go:0019941)",-2.07158572862044,NA,NA,NA,NA,NA,NA
"negative regulation of cell cycle process (go:0010948)",-2.33312179481976,NA,NA,NA,-2.2323271933367,NA,-2.21225278027182
"negative regulation of viral genome replication (go:0045071)",2.7548815132639,NA,NA,NA,NA,NA,NA
"negative regulation of viral process (go:0048525)",3.04515020213523,NA,NA,NA,NA,3.54531938176718,NA
"nod-like receptor signaling pathway",2.71130294045844,NA,NA,NA,NA,2.71226379745768,NA
"oocyte meiosis",-2.56622561742491,-2.34166135692673,-2.38948917436987,-2.37050580051374,-2.50993170934938,-2.32786449919691,-2.5672201699187
"positive regulation of cell cycle process (go:0090068)",-2.73795003436333,-2.41539113420516,-2.62687880112846,-2.09768223315765,-2.3854884513515,-2.16820685594007,-2.58341673026701
"positive regulation of type i interferon production (go:0032481)",2.50056595207319,NA,NA,NA,NA,NA,NA
"progesterone-mediated oocyte maturation",-2.4069830920048,-2.43432383393532,-2.44124221678889,-2.13049551205843,-2.34179210902857,-2.18132631253218,-2.49752076380179
"protein phosphorylation (go:0006468)",-1.91160173963225,NA,NA,NA,NA,NA,-2.1362392082695
"regulation of apc/c activators between g1/s and early anaphase r-hsa-176408",-2.20600816484452,NA,-2.23186983065897,NA,-2.31781765505932,NA,-2.4442670067019
"regulation of cell cycle (go:0051726)",-2.13697251703064,-2.12078840008753,-2.29207763278206,-2.0808122270905,-2.2279763381204,-2.0036073679889,-2.34654795750741
"regulation of cell cycle g2/m phase transition (go:1902749)",-2.44366395586776,NA,-2.53228314776336,-2.22368867035707,-2.10285124618705,-2.18876708344705,-2.37365373934143
"regulation of cell cycle phase transition (go:1901987)",-2.28018132811815,NA,NA,-2.01383897772761,-2.20723559366713,NA,-2.39762466042542
"regulation of cell cycle process (go:0010564)",-2.65507579383956,-2.30614400819239,-2.55048655377648,-2.19625510068792,-2.52435920529014,-2.33242728472742,-2.60867053941169
"regulation of cell division (go:0051302)",-2.50261714461406,-2.13628214183091,-2.46065674890294,NA,-2.25614339475003,NA,-2.35270757690202
"regulation of cyclin-dependent protein kinase activity (go:1904029)",-2.49057482082036,NA,-2.49746451229967,-2.04003461798047,-2.46821203647063,NA,-2.24474174724881
"regulation of cyclin-dependent protein serine/threonine kinase activity (go:0000079)",-2.34603332264969,-2.25162561428995,-2.49973504004512,-2.12175176456654,-2.48309772450028,-2.28142466221131,-2.3053114339626
"regulation of cytokinesis (go:0032465)",-2.58031035402745,-2.18702472649059,-2.36301637328497,-2.18659439369946,-2.35926403358576,-2.38834028976147,-2.4207596836337
"regulation of g2/m transition of mitotic cell cycle (go:0010389)",-2.31059894418986,-2.07097514041567,-2.42308402467823,-2.20725690302478,-2.18359371476766,-2.10172749069531,-2.47295842444537
"regulation of intracellular signal transduction (go:1902531)",-1.91501837152784,NA,NA,NA,NA,NA,-2.00712219857732
"regulation of mitotic cell cycle (go:0007346)",-2.25645312695904,NA,-2.30393870090369,-2.2627288734265,-2.25275805794198,-2.09711661696192,-2.50655094955119
"regulation of mitotic cell cycle phase transition (go:1901990)",-2.60202667088441,-2.27052293812597,-2.39705930797916,-2.43698051521343,-2.33558278885822,-2.30177382244774,-2.48177271945307
"regulation of protein serine/threonine kinase activity (go:0071900)",-2.10201580569742,NA,-2.29171556572644,-1.98671749211718,-2.3471630631026,-2.15833851328879,-2.05104466520915
"regulation of viral genome replication (go:0045069)",2.83436957499124,NA,NA,NA,NA,NA,NA
"resolution of sister chromatid cohesion r-hsa-2500257",-3.40926171871333,-3.03998193861531,-3.25149022342088,-2.68004466513139,-2.93623501320494,-2.85996167006189,-3.0509421787086
"rho gtpase effectors r-hsa-195258",-3.09160219341305,-2.76478204075342,-2.88064223383595,-2.45297208527066,-2.79154208559538,-2.5839990211199,-2.83338308306789
"rho gtpases activate formins r-hsa-5663220",-3.2830931829514,-2.99461900241132,-3.06305732452354,-2.59369562539882,-2.88230286435841,-2.7268603398901,-2.90833239518808
"s phase r-hsa-69242",-2.20475755312544,-2.26968116628942,-2.51903815915176,-1.95102703848001,-2.44127297281629,-2.1322370645574,-2.30739568913923
"separation of sister chromatids r-hsa-2467813",-3.23568393651623,-2.95476059612697,-3.1129466365499,-2.61068327777071,-2.81876985550574,-2.669914382122,-2.99303217839723
"signal transduction r-hsa-162582",-1.72073310437716,NA,-1.86991053102308,NA,NA,-1.48536337216467,-1.88724548589638
"signaling by rho gtpases r-hsa-194315",-2.54305613562144,-2.37657353615792,-2.43161688701554,-2.08311944640771,-2.29501714818163,-1.90514027148019,-2.48906598716646
"signaling by rho gtpases, miro gtpases and rhobtb3 r-hsa-9716542",-2.51879740682708,-2.33158044460428,-2.37956971427954,-2.05035796684695,-2.28431314241182,-1.89235328169264,-2.45769712720428
"sister chromatid segregation (go:0000819)",-2.84203710658289,-2.65545268272699,-2.82460497961601,-2.41537884800085,-2.58473915392183,-2.61981849577872,-2.71987767620579
"synthesis of dna r-hsa-69239",-2.06019006839565,-2.42503427112194,-2.45570551469029,-2.05000725520991,-2.43453403473428,-2.10737121923717,-2.21973294770609
"tp53 regulates transcription of cell cycle genes r-hsa-6791312",-2.13300038748723,NA,-2.22462278600863,NA,-2.2255089495405,NA,-2.33300854092469
"type i interferon signaling pathway (go:0060337)",3.70610861187295,NA,NA,NA,NA,3.62551074207492,NA
"unattached kinetochores signal amplification via a mad2 inhibitory signal r-hsa-141444",-3.24868409772466,-2.99481524799444,-3.12126875368842,-2.60881926929462,-2.87144334647507,-2.75501384703754,-2.9424756754301
